"ID","MCFanLeger","MCFanLourd","MCCheval","MCEngin","MCVolant","MCBateau","Nom","Tri","Couverture","Camouflage","Type","ResTypeA","ResTypeB","ResTypeC","ResQuantA","ResQuantB","ResQuantC","GenMonType","GenMalType","GenMonChance","Emplacements","HexoName","NomComplet","Elevation","MCEclaireurs","GenMonstre","Ouvert","MCAmphib","ResTypeD","ResQuantD","ResTypeE","ResQuantE","MCBatCab","GenMalChance","TerraformTo","Irrigation","MCTrav","MCBatMix"
"67","18","32","50","70","5","9999","Taiga / Montagnes","4","55","65","7 Sapins","","Vegetaux","Gibier","","12","10","Petit","","10","9","Evergreen Mountains","Taïga / Montagnes","3","14","Creature3","no","","Pierre","60","Bois","85","9999","2","","","5","9999"
"68","9","11","9","15","4","9999","","2","25","30","8 Foret","","Vegetaux","Gibier","","25","15","","Froid","10","11","Light Forest Icy","Forêt (enneigée)","1","6","Creature7","yes","","Pierre","8","Bois","90","9999","5","","","4","9999"
"69","9","13","13","19","4","9999","","2","35","40","8 Foret","","Vegetaux","Gibier","","35","20","","Froid","10","10","Heavy Forest Icy","Forêt dense (enneigée)","1","6","Creature7","no","","Pierre","8","Bois","125","9999","5","","","4","9999"
"70","11","15","13","21","4","9999","Foret / Collines enneigees","4","42","45","8 Foret","","Vegetaux","Gibier","","20","15","Petit","Froid","10","10","Forested Hills Icy","Forêt / Collines (enneigées)","2","8","Creature7","no","","Pierre","25","Bois","80","9999","5","","","4","9999"
"71","18","32","50","70","5","9999","","4","60","60","8 Foret","","Vegetaux","Gibier","","15","6","","Froid","10","9","Forested Mountains Icy","Forêt / Montagnes (enneigées)","3","14","Creature3","no","","Pierre","50","Bois","50","9999","10","","","5","9999"
"72","9","11","13","19","4","9999","Taiga enneigee","2","40","35","7 Sapins","","Vegetaux","Gibier","","10","15","Petit","Froid","10","10","Heavy Evergreen Icy","Taïga enneigée","1","6","Creature7","no","","Pierre","12","Bois","150","9999","6","","","4","9999"
"73","18","33","50","70","5","9999","","4","60","60","7 Sapins","","Vegetaux","Gibier","","6","5","","Froid","10","9","Evergreen Mountains Icy","Taïga / Montagnes (enneigées)","3","15","Creature3","no","","Pierre","60","Bois","85","9999","12","","","5","9999"
"74","7","7","5","11","4","9999","","1","0","10","2 Neige","","Vegetaux","Gibier","","6","6","","Froid","10","12","Rocky Desert Icy","Plaines rocailleuses (enneigées)","1","6","Creature7","yes","","Pierre","50","Bois","8","9999","5","","","4","9999"
"75","11","15","11","17","4","9999","","4","30","25","2 Neige","","Vegetaux","Gibier","","6","8","","Froid","10","10","Hills Icy","Collines (enneigées)","2","7","Creature7","yes","","Pierre","50","Bois","7","9999","5","","","4","9999"
"76","20","32","50","70","5","9999","Montagnes enneigees","5","45","45","2 Neige","","Vegetaux","Gibier","","5","5","Moyen","Froid","10","8","Mountains Icy","Montagnes (enneigées)","3","13","Creature3","no","","Pierre","100","Bois","5","9999","12","","","5","9999"
"77","9","11","9","17","4","9999","Foret morte enneigees","12","30","35","2 Mort","","","","","","","Moyen","Froid","10","11","Dead Forest Icy","Forêt morte (enneigées)","1","6","Creature8","yes","","Pierre","10","Bois","100","9999","5","","","4","9999"
"78","11","15","11","21","4","9999","Foret morte / Collines enneigees","4","37","45","2 Mort","","","","","","","Moyen","Froid","10","10","Dead Forest Hills Icy","Forêt morte / Collines (enneigées)","2","8","Creature8","no","","Pierre","35","Bois","75","9999","5","","","5","9999"
"79","18","32","50","70","5","9999","","4","55","55","2 Mort","","","","","","","","Froid","10","9","Dead Forest Mountains Icy","Forêt morte / Montagnes (enneigées)","3","13","Creature8","no","","Pierre","75","Bois","50","9999","10","","","5","9999"
"80","14","28","20","40","4","9999","Marais enneiges","3","40","20","1 Marecageux","","Vegetaux","Gibier","","25","7","Moyen","Froid","10","10","Marsh Icy","Marécages (enneigés)","0","9","Creature4","yes","","","","Bois","5","9999","8","","","4","9999"
"81","9","10","15","12","4","9999","","11","0","0","2 Neige","","","Gibier","","","10","","Froid","10","3","Blank Icy","Banquise","0","7","Creature7","yes","","","","","","9999","15","","","4","9999"
"82","11","15","11","17","4","21","","4","15","25","4 Pauvre","","Vegetaux","Gibier","","30","12","","Récifs","15","11","Hills River","Collines / Rivière","2","7","Creature11","yes","","Pierre","50","Bois","7","7","3","","1","4","10"
"83","8","8","8","9","4","9999","","15","0","5","2 Neige","","Vegetaux","Gibier","","4","4","","Froid","0","13","Rocky Desert Icy","Désert rocailleux (enneigé)","1","6","Creature7","yes","","Pierre","40","","","9999","5","","","4","9999"
"85","9","11","9","17","4","18","","12","25","35","2 Mort","","","","","","","","Maladie","10","11","Dead Forest River","Forêt morte / Rivière","1","6","Creature11","no","","Pierre","10","Bois","100","6","2","","1","4","9"
"86","9","11","9","15","4","18","","2","20","35","8 Foret","Cereales","Vegetaux","Gibier","7","75","30","","Maladie","15","11","Light Forest River","Forêt / Rivière","1","6","Creature11","no","","Pierre","8","Bois","90","6","1","","1","4","9"
"87","20","36","50","70","5","9999","Hautes montagnes (enneigees)","5","55","50","2 Neige","","Vegetaux","Gibier","","4","4","Moyen","Froid","10","8","Snowcapped Mountains Icy","Hautes montagnes (enneigées)","3","15","Creature3","no","","Pierre","120","Bois","2","9999","15","","","5","9999"
"88","21","36","36","70","4","24","jungle_riviere","18","55","70","9 Jungle","","Vegetaux","Gibier","","115","35","Grand","Maladie","15","10","Jungle River","Jungle / Rivière","1","13","Creature11","no","","Pierre","8","Bois","105","8","7","","1","4","12"
"89","14","28","20","40","4","24","","3","35","25","1 Marecageux","Cereales","Vegetaux","Gibier","5","75","10","","Maladie","15","10","Marsh River","Marécages / Rivière","0","9","Creature11","yes","","","","Bois","5","8","7","","1","4","12"
"90","20","32","50","70","5","9999","","5","40","50","4 Pauvre","","Vegetaux","Gibier","","15","5","","Récifs","10","9","Mountains River","Montagnes / Rivière","3","14","Creature11","no","","Pierre","100","Bois","5","14","7","","1","5","21"
"91","7","6","4","9","4","12","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","120","120","25","","Maladie","10","13","Farmland River","Plaines / Rivière","1","6","Creature11","yes","","Pierre","6","Bois","10","4","1","Terres Agricoles","1","4","6"
"92","11","15","11","17","4","9999","Prairie / Collines (enneigee)","4","30","25","2 Neige","Cereales","Vegetaux","Gibier","4","15","10","Moyen","Froid","10","10","Grassy Hills Icy","Prairie / Collines (enneigée)","2","7","Creature7","yes","","Pierre","40","Bois","7","9999","5","","","4","9999"
"93","7","7","5","9","4","12","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","90","150","50","","Maladie","10","13","Grassland River","Prairie / Rivière","1","6","Creature11","yes","","Pierre","8","Bois","10","4","1","Pâturages","1","4","6"
"94","11","15","13","21","4","27","","4","37","50","8 Foret","","Vegetaux","Gibier","","60","30","","Récifs","15","10","Forested Hills River","Forêt / Collines / Rivière","2","8","Creature11","no","","Pierre","25","Bois","80","9","3","","1","4","13"
"95","9","13","13","19","4","21","","2","30","45","8 Foret","","Vegetaux","Gibier","","100","40","","Maladie","15","10","Heavy Forest River","Forêt dense / Rivière","1","6","Creature11","no","","Pierre","8","Bois","125","7","2","","1","4","10"
"96","11","15","11","21","4","24","","4","32","50","2 Mort","","","","","","","","Récifs","15","10","Dead Forest Hills River","Forêt morte / Collines / Rivière","2","8","Creature11","no","","Pierre","35","Bois","75","8","3","","1","5","12"
"97","7","7","5","9","4","12","","","0","10","5 Normale","Cereales","Vegetaux","Gibier","35","150","85","","Maladie","5","13","Grazing Land River","Pâturages / Rivière","1","6","Creature11","yes","","Pierre","8","Bois","10","4","1","","1","4","6"
"98","7","9","8","9","4","18","","15","0","5","2 Neige","Cereales","Vegetaux","Gibier","12","30","12","","Froid","15","10","Snow Fields River","Plaines (enneigées) / Rivière","1","6","Creature11","yes","","Pierre","6","Bois","8","4","10","","1","4","6"
"99","5","5","5","8","4","15","","1","0","15","4 Pauvre","","Vegetaux","Gibier","","10","8","","Récifs","3","13","Grassland Poor River Road","Plaines rocailleuses / Rivière / Route","1","4","Creature11","yes","","Pierre","50","Bois","5","4","1","","1","4","6"
"100","11","15","11","17","4","12","","4","15","30","5 Normale","Cereales","Vegetaux","Gibier","35","75","25","","Récifs","15","11","Grassy Hills River","Prairie / Collines / Rivière","2","7","Creature11","yes","","Pierre","40","Bois","10","7","3","","1","4","10"
"101","7","7","5","9","4","12","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","160","85","20","","","0","13","Cultivated Farmland River","Terres Agricoles / Rivière","1","6","Creature11","yes","","Pierre","6","Bois","10","4","","","1","4","6"
"102","14","24","24","35","4","9999","","18","35","70","9 Jungle","","Vegetaux","Gibier","","85","35","Grand","Maladie","3","10","Jungle Road","Jungle / Route","1","8","Creature5","no","","Pierre","8","Bois","95","9999","3","","","4","9999"
"103","14","24","24","35","4","24","","18","40","70","9 Jungle","","Vegetaux","Gibier","","115","35","Grand","Maladie","3","10","Jungle River Road","Jungle / Rivière / Route","1","8","Creature11","no","","Pierre","8","Bois","105","8","4","","1","4","12"
"104","16","26","26","35","4","9999","","18","42","85","9 Jungle","","Vegetaux","Gibier","","60","30","","Maladie","3","9","Jungle Hills Road","Jungle / Collines / Route","2","10","Creature5","no","","Pierre","25","Bois","55","9999","3","","","4","9999"
"105","7","8","6","12","4","9999","","2","13","35","8 Foret","Cereales","Vegetaux","Gibier","5","50","30","Petit","","0","11","Light Forest Road","Forêt / Route","1","3","Creature2","yes","","Pierre","8","Bois","90","9999","","","","4","9999"
"106","7","9","7","13","4","9999","","2","18","30","8 Foret","","Vegetaux","Gibier","","25","15","","Froid","0","11","Light Forest Icy Road","Forêt (enneigée) / Route","1","4","Creature7","yes","","Pierre","8","Bois","90","9999","2","","","4","9999"
"107","7","9","7","13","4","18","","2","13","35","8 Foret","Cereales","Vegetaux","Gibier","7","75","30","","Maladie","3","11","Light Forest River Road","Forêt / Rivière / Route","1","4","Creature11","yes","","Pierre","8","Bois","90","6","1","","1","4","9"
"108","7","10","10","16","4","9999","","2","20","45","8 Foret","","Vegetaux","Gibier","","75","40","Moyen","","3","10","Heavy Forest Road","Forêt dense / Route","1","3","Creature2","no","","Pierre","8","Bois","125","9999","","","","4","9999"
"109","7","11","11","17","4","9999","","2","25","40","8 Foret","","Vegetaux","Gibier","","35","20","","Froid","0","10","Heavy Forest Icy Road","Forêt dense (enneigée) / Route","1","4","Creature7","no","","Pierre","8","Bois","125","9999","2","","","4","9999"
"110","7","11","11","17","4","21","","2","20","45","8 Foret","","Vegetaux","Gibier","","100","40","","Maladie","3","10","Heavy Forest River Road","Forêt dense / Rivière / Route","1","4","Creature11","no","","Pierre","8","Bois","125","7","1","","1","4","10"
"111","9","13","10","18","4","9999","","4","25","50","8 Foret","","Vegetaux","Gibier","","40","30","Moyen","","0","10","Forested Hills Road","Forêt / Collines / Route","2","6","Creature10","no","","Pierre","25","Bois","80","9999","","","","4","9999"
"112","9","13","11","19","4","9999","","4","30","45","8 Foret","","Vegetaux","Gibier","","20","15","Petit","Froid","0","10","Forested Hills Icy Road","Forêt / Collines (enneigées) / Route","2","6","Creature7","no","","Pierre","25","Bois","80","9999","2","","","4","9999"
"113","9","13","11","19","4","27","","4","25","50","8 Foret","","Vegetaux","Gibier","","60","30","","Récifs","3","10","Forested Hills River Road","Forêt / Collines / Rivière / Route","2","6","Creature11","no","","Pierre","25","Bois","80","9","1","","1","4","13"
"114","16","24","40","35","5","9999","","4","35","65","8 Foret","","Vegetaux","Gibier","","30","12","","","0","9","Forested Mountains Road","Forêt / Montagnes / Route","3","10","Creature3","no","","Pierre","50","Bois","50","9999","","","","5","9999"
"115","16","24","40","35","5","9999","","4","40","60","8 Foret","","Vegetaux","Gibier","","15","6","","Froid","0","9","Forested Mountains Icy Road","Forêt / Montagnes (enneigées) / Route","3","10","Creature3","no","","Pierre","50","Bois","50","9999","6","","","5","9999"
"116","6","8","10","16","4","9999","","2","22","40","7 Sapins","","Vegetaux","Gibier","","25","25","Petit","","0","10","Heavy Evergreen Road","Taïga / Route","1","3","Creature2","no","","Pierre","12","Bois","150","9999","","","","4","9999"
"117","7","9","11","17","4","9999","","2","27","35","7 Sapins","","Vegetaux","Gibier","","10","15","Petit","Froid","0","10","Heavy Evergreen Icy Road","Taïga enneigée / Route","1","4","Creature7","no","","Pierre","12","Bois","150","9999","3","","","4","9999"
"118","16","21","40","35","5","9999","","4","35","65","7 Sapins","","Vegetaux","Gibier","","12","10","Petit","","0","9","Evergreen Mountains Road","Taïga / Montagnes / Route","3","12","Creature3","no","","Pierre","60","Bois","85","9999","","","","5","9999"
"119","16","21","50","35","5","9999","","4","40","60","7 Sapins","","Vegetaux","Gibier","","6","5","","Froid","0","9","Evergreen Mountains Icy Road","Taïga / Montagnes (enneigées) / Route","3","13","Creature3","no","","Pierre","60","Bois","85","9999","7","","","5","9999"
"120","7","7","7","9","4","9999","","17","20","20","6 Epineux","","Vegetaux","Gibier","","35","15","","Soif","0","11","Heavy Cactus Road","Caatinga / Route","1","5","Creature2","yes","","Pierre","15","Bois","8","9999","1","","","4","9999"
"121","5","5","5","6","4","9999","","16","20","25","3 Desertique","Cereales","Vegetaux","Gibier","30","125","15","","","0","12","Oasis Road","Oasis / Route","1","4","Creature2","yes","","Pierre","8","Bois","10","9999","","","1","4","9999"
"122","5","5","4","6","4","9999","","","0","10","5 Normale","Cereales","Vegetaux","Gibier","25","100","85","","","0","13","Grazing Land Road","Pâturages / Route","1","4","Creature1","yes","","Pierre","8","Bois","10","9999","","","1","4","9999"
"123","5","5","4","6","4","9999","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","125","75","20","","","0","13","Cultivated Farmland Road","Terres Agricoles / Route","1","4","Creature1","yes","","Pierre","6","Bois","10","9999","","","1","4","9999"
"124","5","5","5","7","4","12","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","160","85","20","","","0","13","Cultivated Farmland River Road","Terres Agricoles / Rivière / Route","1","4","Creature11","yes","","Pierre","6","Bois","10","4","","","1","4","6"
"125","5","5","4","6","4","9999","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","65","100","50","","","0","13","Grassland Road","Prairie / Route","1","4","Creature1","yes","","Pierre","8","Bois","10","9999","","Pâturages","1","4","9999"
"126","5","5","5","6","4","12","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","90","150","50","","Maladie","0","13","Grassland River Road","Prairie / Rivière / Route","1","4","Creature11","yes","","Pierre","8","Bois","10","4","1","Pâturages","1","4","6"
"127","9","12","8","14","4","8","","4","10","30","5 Normale","Cereales","Vegetaux","Gibier","25","50","25","","","0","11","Grassy Hills Road","Prairie / Collines / Route","2","5","Creature10","yes","","Pierre","40","Bois","10","9999","","","","4","9999"
"128","9","12","9","15","4","9999","","4","30","25","2 Neige","Cereales","Vegetaux","Gibier","4","15","10","Moyen","Froid","0","9","Grassy Hills Icy Road","Prairie / Collines (enneigée) / Route","2","5","Creature7","yes","","Pierre","40","Bois","7","9999","2","","","4","9999"
"130","9","13","9","15","4","12","","4","10","30","5 Normale","Cereales","Vegetaux","Gibier","35","75","25","","Récifs","3","11","Grassy Hills River Road","Prairie / Collines / Rivière / Route","2","5","Creature11","yes","","Pierre","40","Bois","10","7","1","","1","4","10"
"131","5","5","4","6","4","9999","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","80","80","25","","","0","13","Farmland Road","Plaines / Route","1","4","Creature1","yes","","Pierre","6","Bois","10","9999","","Terres Agricoles","1","4","9999"
"132","5","6","5","7","4","9999","","15","0","5","2 Neige","Cereales","Vegetaux","Gibier","8","20","12","","Froid","0","10","Snow Fields Road","Plaines (enneigées) / Route","1","5","Creature7","yes","","Pierre","6","Bois","8","9999","6","","","4","9999"
"133","5","7","6","7","4","18","","15","0","5","2 Neige","Cereales","Vegetaux","Gibier","12","30","12","","Froid","3","9","Snow Fields River Road","Plaines (enneigées) / Rivière / Route","1","5","Creature11","yes","","Pierre","6","Bois","8","4","6","","1","4","6"
"134","5","5","4","7","4","12","","1","0","10","5 Normale","Cereales","Vegetaux","Gibier","120","120","25","","","0","13","Farmland River Road","Plaines / Rivière / Route","1","3","Creature11","yes","","Pierre","6","Bois","10","4","","Terres Agricoles","1","4","6"
"135","5","5","5","9","4","9999","","1","0","10","2 Neige","","Vegetaux","Gibier","","6","6","","Froid","0","10","Rocky Desert Icy Road","Plaines rocailleuses (enneigées) / Route","1","5","Creature7","yes","","Pierre","50","Bois","8","9999","2","","","4","9999"
"136","9","12","8","14","4","9999","","4","10","25","4 Pauvre","","Vegetaux","Gibier","","20","12","","","0","11","Hills Road","Collines / Route","2","5","Creature10","yes","","Pierre","50","Bois","7","9999","","","","4","9999"
"137","9","12","9","15","4","9999","","4","30","25","2 Neige","","Vegetaux","Gibier","","6","8","","Froid","0","9","Hills Icy Road","Collines (enneigées) / Route","2","5","Creature7","yes","","Pierre","50","Bois","7","9999","2","","","4","9999"
"138","9","12","9","15","4","21","","4","10","25","4 Pauvre","","Vegetaux","Gibier","","30","12","","Récifs","3","11","Hills River Road","Collines / Rivière / Route","2","5","Creature11","yes","","Pierre","50","Bois","7","7","1","","1","4","10"
"139","18","24","40","50","5","9999","","5","35","50","4 Pauvre","","Vegetaux","Gibier","","5","3","GrandVolant","Froid","0","8","Snowcapped Mountains Road","Hautes montagnes / Route","3","13","Creature3","no","","Pierre","120","Bois","2","9999","2","","","5","9999"
"140","18","30","40","50","5","9999","","5","40","50","2 Neige","","Vegetaux","Gibier","","4","4","Moyen","Froid","5","7","Snowcapped Mountains Icy Road","Hautes montagnes (enneigées) / Route","3","13","Creature3","no","","Pierre","120","Bois","2","9999","10","","","5","9999"
"141","16","24","40","35","5","9999","","5","30","50","4 Pauvre","","Vegetaux","Gibier","","10","5","Moyen","","0","9","Mountains Road","Montagnes / Route","3","11","Creature3","no","","Pierre","100","Bois","5","9999","","","","5","9999"
"142","18","24","40","35","5","9999","","5","35","45","2 Neige","","Vegetaux","Gibier","","5","5","Moyen","Froid","3","7","Mountains Icy Road","Montagnes (enneigées) / Route","3","11","Creature3","no","","Pierre","100","Bois","5","9999","7","","","5","9999"
"143","18","24","40","35","5","9999","","5","30","50","4 Pauvre","","Vegetaux","Gibier","","15","5","","Récifs","0","9","Mountains River Road","Montagnes / Rivière / Route","3","12","Creature11","no","","Pierre","100","Bois","5","14","4","","1","5","21"
"144","16","24","40","35","5","9999","","5","30","50","0 Lave","Cereales","Vegetaux","Gibier","25","25","15","MoyenVolant","","3","9","Dormant Volcano Road","Volcan inactif / Route","3","11","Creature13","no","","Pierre","100","Bois","10","","","","","5","9999"
"145","7","12","10","12","4","9999","","15","0","0","3 Desertique","","Vegetaux","Gibier","","3","3","","Soif","0","13","Sandy Desert Road","Désert de sable / Route","1","5","Creature6","yes","","Pierre","8","","","9999","5","","","4","9999"
