"ID","GameID","KingID","TeamName","URL","Titre","Notes","Region","HCMap","HRMap"
"33","","Bakhtawar","","HC=86&amp;HR=8&amp;HCM=78&amp;HRM=4","Brrrrrrr","","Grand Chenal / Grande Froide / Terres Sauvages","78","4"
"34","","Bakhtawar","","HC=65&amp;HR=63&amp;HCM=58&amp;HRM=63","Balnearia Sciencia","","La Verte / Baie de Mikaron / La Sérénissime","58","63"
"35","","Bakhtawar","","HC=97&amp;HR=98&amp;HCM=96&amp;HRM=92","Mâchoire","","Golfe des Epices","96","92"
"36","","Bakhtawar","","HC=87&amp;HR=94&amp;HCM=84&amp;HRM=92","Kifum","","Jungle Mahoud / Golfe des Epices / Repaire du dragon","84","92"
"37","","Bakhtawar","","HC=58&amp;HR=91&amp;HCM=50&amp;HRM=81","Behnkef","","Hitze","50","81"
"39","","Bakhtawar","","HC=85&amp;HR=97&amp;HCM=76&amp;HRM=90","Denocanco","","Jungle Mahoud / Repaire du dragon","76","90"
"42","","Mahoud","","HC=59&amp;HR=98&amp;HCM=52&amp;HRM=90","Hemboko","","Hitze","52","90"
"43","","Khaidu","","HC=57&amp;HR=5&amp;HCM=50&amp;HRM=0","Midgar Air","","Collines de Glace","50","0"
"44","","Khaidu","","HC=77&amp;HR=12&amp;HCM=70&amp;HRM=6","Chovd","","Grand Chenal / Terres Sauvages","70","6"
"45","","Khaidu","","HC=79&amp;HR=12&amp;HCM=72&amp;HRM=6","Eg-Uur","","Grand Chenal / Terres Sauvages","72","6"
"46","","Khaidu","","HC=70&amp;HR=14&amp;HCM=62&amp;HRM=8","Zuunk","","Collines de Glace / Grand Chenal / Plaines du Sabot / Collines Sanglantes / Terres Sauvages","62","8"
"47","","Khaidu","","HC=76&amp;HR=9&amp;HCM=68&amp;HRM=3","Chandmai","","Grand Chenal / Terres Sauvages","68","3"
"48","","Mahoud","","HC=50&amp;HR=95&amp;HCM=46&amp;HRM=89","N&apos;Kabirksounamoun","","Vallée des Mourants","46","89"
"49","","Mahoud","","HC=65&amp;HR=106&amp;HCM=60&amp;HRM=98","Yllo Mago","","Jungle Mouvante","60","98"
"50","","Mahoud","","HC=67&amp;HR=94&amp;HCM=60&amp;HRM=90","Mahoudneh","","Hitze","60","90"
"51","","Mahoud","","HC=69&amp;HR=94&amp;HCM=60&amp;HRM=88","Dabir","","Hitze","60","88"
"52","","Mahoud","","HC=82&amp;HR=96&amp;HCM=70&amp;HRM=87","Kobe Akhnem","","Jungle Mahoud / Repaire du dragon","70","87"
"53","","Mahoud","","HC=85&amp;HR=97&amp;HCM=76&amp;HRM=90","Denocanco","","Jungle Mahoud / Repaire du dragon","76","90"
"54","","Mahoud","","HC=87&amp;HR=94&amp;HCM=82&amp;HRM=89","Kifum","","Jungle Mahoud / Golfe des Epices / Repaire du dragon","82","89"
"55","","Mahoud","","HC=107&amp;HR=63&amp;HCM=98&amp;HRM=53","Choko Choko","","Côte Chaude","98","53"
"56","","Mahoud","","HC=86&amp;HR=71&amp;HCM=74&amp;HRM=64","Fummavalah","","Grand Ecrin / Vallée de l&apos;Encens","74","64"
"57","","Mahoud","","HC=65&amp;HR=63&amp;HCM=60&amp;HRM=58","Balnearia Sciencia","","La Verte / Baie de Mikaron / La Sérénissime","60","58"
"59","","Mahoud","","HC=9&amp;HR=63&amp;HCM=2&amp;HRM=57","Ile de Saumure","","Grand Atoll / Atoll de Feu","2","57"
"61","","Mahoud","","HC=80&amp;HR=89&amp;HCM=72&amp;HRM=82","Ssiles Bakhwanah","","Pays des Caïmans / Jungle Mahoud","72","82"
"62","","Mahoud","","HC=72&amp;HR=90&amp;HCM=68&amp;HRM=82","N&apos;Kogo","","Pays des Caïmans / Jungle Mahoud","68","82"
"63","","Bakhtawar","","HC=72&amp;HR=90&amp;HCM=60&amp;HRM=81","N&apos;Kogo","","Pays des Caïmans / Jungle Mahoud","60","81"
"67","","Lear","","HC=62&amp;HR=44&amp;HCM=52&amp;HRM=38","Haut Empire","","Haut Empire","52","38"
"71","","Engelbert","","HC=55&amp;HR=14&amp;HCM=48&amp;HRM=8","Trinité","","Collines de Glace / Plaines du Sabot","48","8"
"72","","Yvand","","HC=65&amp;HR=60&amp;HCM=58&amp;HRM=54","Boroneth","","La Verte / La Sérénissime","58","54"
"74","","Wulfram","","HC=56&amp;HR=14&amp;HCM=48&amp;HRM=8","Laurendrill","","Collines de Glace / Plaines du Sabot","48","8"
"75","","Wulfram","","HC=77&amp;HR=24&amp;HCM=70&amp;HRM=18","Grotte de pierre","","Collines Sanglantes / Crache flammes","70","18"
"76","","Wulfram","","HC=71&amp;HR=61&amp;HCM=62&amp;HRM=56","Mineralis","","La Verte / Le Grenier / La Sérénissime","62","56"
"77","","Wulfram","","HC=76&amp;HR=17&amp;HCM=68&amp;HRM=10","Tsetseg","","Collines Sanglantes / Terres Sauvages","68","10"
"78","","Edrik","","HC=95&amp;HR=36&amp;HCM=88&amp;HRM=30","Harapan","","Pays Dur / Harapan","88","30"
"79","","Zavatta","","HC=116&amp;HR=68&amp;HCM=102&amp;HRM=62","Karandache","","Côte Chaude","102","62"
"80","","Zavatta","","HC=110&amp;HR=54&amp;HCM=102&amp;HRM=48","Lac Perché","","Lac Perché / Lac d&apos;emeraude","102","48"
"82","","Merewenn","","HC=106&amp;HR=54&amp;HCM=98&amp;HRM=48","Port avancé de l&apos;Ondine","","Lac Perché / Lac d&apos;emeraude","98","48"
"84","","Yvand","","HC=62&amp;HR=66&amp;HCM=54&amp;HRM=60","Expecta","","La Verte / Baie de Mikaron / La Sérénissime","54","60"
"85","","Shwarzkoff","","HC=93&amp;HR=33&amp;HCM=86&amp;HRM=27","Grenier","","Pays Dur / Harapan","86","27"
"87","","Shwarzkoff","","HC=62&amp;HR=25&amp;HCM=54&amp;HRM=19","Kholfgrad","","Plaines du Sabot / Kholf","54","19"
"88","","Yvand","","HC=95&amp;HR=36&amp;HCM=88&amp;HRM=26","Harapan ville","","Pays Dur / Harapan","88","26"
"89","","Orseac","","HC=54&amp;HR=13&amp;HCM=46&amp;HRM=7","Brumeval","","Collines de Glace / Midgard","46","7"
"90","","Shwarzkoff","","HC=71&amp;HR=20&amp;HCM=64&amp;HRM=15","Le trésor","","Collines Sanglantes","64","15"
"91","","Nikolai","","HC=61&amp;HR=25&amp;HCM=46&amp;HRM=20","Todrick kolosse","","Plaines du Sabot / Kholf","46","20"
"92","","Nikolai","","HC=89&amp;HR=56&amp;HCM=86&amp;HRM=50","Phaeleone","","Grande Forêt / Montagnes de Bourbe","86","50"
"94","","Darh","","HC=46&amp;HR=109&amp;HCM=38&amp;HRM=100","Zone débarquement Varam","","Bassin des Embruns","38","100"
"95","","Majid","","HC=95&amp;HR=36&amp;HCM=88&amp;HRM=26","Harapan ville","","Pays Dur / Harapan","88","26"
"96","","Shwarzkoff","","HC=66&amp;HR=14&amp;HCM=58&amp;HRM=7","Grandes plaines à Gibier","","Collines de Glace / Plaines du Sabot","58","7"
"98","","Arsthan","","HC=54&amp;HR=13&amp;HCM=46&amp;HRM=7","Brumeval","","Collines de Glace / Midgard","46","7"
"99","","Arsthan","","HC=62&amp;HR=8&amp;HCM=50&amp;HRM=0","Frontière","","Collines de Glace","50","0"
"100","","Lear","","HC=82&amp;HR=52&amp;HCM=74&amp;HRM=46","Karat","","Forêt Centrale / Le Grenier","74","46"
"101","","Arsthan","","HC=49&amp;HR=18&amp;HCM=34&amp;HRM=11","Badlands","","Baie Vaseuse","34","11"
"102","","Oswald","","HC=47&amp;HR=96&amp;HCM=44&amp;HRM=88","terres de feu","","Vallée des Mourants","44","88"
"103","","Oswald","","HC=93&amp;HR=31&amp;HCM=86&amp;HRM=25","Harapan","","Pays Dur / Harapan","86","25"
"108","","Shwarzkoff","","HC=96&amp;HR=43&amp;HCM=88&amp;HRM=37","Irchon la généreuse","","Harapan / Montagnes de Bourbe","88","37"
"109","","Oswald","","HC=71&amp;HR=59&amp;HCM=66&amp;HRM=57","Nobodzgrad","","La Verte / Le Grenier / La Sérénissime","66","57"
"111","","Babotchkine","","HC=95&amp;HR=36&amp;HCM=86&amp;HRM=30","Harapan ville","","Pays Dur / Harapan","86","30"
"112","","Babotchkine","","HC=117&amp;HR=51&amp;HCM=114&amp;HRM=42","Frontière Gowryn","","Lac Perché","114","42"
"113","","Zavatta","","HC=95&amp;HR=36&amp;HCM=86&amp;HRM=30","Harapan ville","","Pays Dur / Harapan","86","30"
"114","","Empire","","HC=97&amp;HR=70&amp;HCM=88&amp;HRM=64","1guetteur et  3 goules bakta","","Vallée de l&apos;Encens / Terres des vandales","88","64"
"115","","Lear","","HC=111&amp;HR=66&amp;HCM=102&amp;HRM=58","La Côte Chaude","","Côte Chaude / Domaine des Baladins","102","58"
"116","","Manutea","","HC=52&amp;HR=62&amp;HCM=42&amp;HRM=57","perte seche","","Golfe de Pierre / Baie de Mikaron / Mer du Sommeil","42","57"
"117","","Skavin","","HC=62&amp;HR=66&amp;HCM=58&amp;HRM=44","Expecta","","La Verte / Baie de Mikaron / La Sérénissime","58","44"
"118","","Oswald","","HC=111&amp;HR=45&amp;HCM=104&amp;HRM=39","Lieu-dit des échanges","","Monts Morts","104","39"
"119","","Shwarzkoff","","HC=75&amp;HR=19&amp;HCM=66&amp;HRM=12","La caverne du dragon &quot;Uulbayan&quot;  ","","Collines Sanglantes / Crache flammes","66","12"
"120","","Officier","","HC=37&amp;HR=48&amp;HCM=30&amp;HRM=39","Large de Weissman","","Côte d&apos;Arain / Golfe de Pierre","30","39"
"121","","Officier","","HC=49&amp;HR=92&amp;HCM=40&amp;HRM=83","Niewe Drik","","Vallée des Mourants","40","83"
"122","","Nikolai","","HC=95&amp;HR=36&amp;HCM=86&amp;HRM=30","Harapan ville","","Pays Dur / Harapan","86","30"
"123","","Bakhtawar","","HC=104&amp;HR=69&amp;HCM=92&amp;HRM=63","Mont Sheol","","Côte Chaude","92","63"
"124","","Darh","","HC=42&amp;HR=100&amp;HCM=34&amp;HRM=94","Yazdgard capitale varham","","Vallée des Mourants / Bassin des Embruns","34","94"
"125","","Yvand","","HC=65&amp;HR=63&amp;HCM=56&amp;HRM=61","Balnearia Sciencia","","La Verte / Baie de Mikaron / La Sérénissime","56","61"
"126","","Babotchkine","","HC=124&amp;HR=56&amp;HCM=116&amp;HRM=46","Bord du Monde","","Le Cloaque","116","46"
"127","","Gadaviel","","HC=82&amp;HR=52&amp;HCM=74&amp;HRM=46","Karat","","Forêt Centrale / Le Grenier","74","46"
"129","","Gadaviel","","HC=79&amp;HR=32&amp;HCM=72&amp;HRM=25","Village de Serviable","","Landes Amères","72","25"
"131","","Torgiel","","HC=106&amp;HR=54&amp;HCM=102&amp;HRM=46","Port avancé de l&apos;Ondine 2 gabares ","","Lac Perché / Lac d&apos;emeraude","102","46"
"134","","Khaidu","","HC=105&amp;HR=28&amp;HCM=98&amp;HRM=22","Charnier Teuts","","Rocher rouge / Mer Fumante","98","22"
"135","","Khaidu","","HC=98&amp;HR=21&amp;HCM=90&amp;HRM=15","Grande Assemblée","","Vielle Forêt / Grande Assemblée","90","15"
"136","","Vlichtwasser","","HC=78&amp;HR=90&amp;HCM=68&amp;HRM=82","Pinyo Champs Mahouds","","Pays des Caïmans / Jungle Mahoud","68","82"
"137","","Mahoud","","HC=102&amp;HR=77&amp;HCM=94&amp;HRM=65","Mordoq","","Pont de Terre / Mer Intérieure","94","65"
"138","","Oswald","","HC=69&amp;HR=24&amp;HCM=50&amp;HRM=13","Midgard","","Plaines du Sabot / Collines Sanglantes","50","13"
"139","","Arsthan","","HC=59&amp;HR=18&amp;HCM=50&amp;HRM=8","Frontière Sud","","Plaines du Sabot / Midgard","50","8"
"140","","Bakhtawar","","HC=95&amp;HR=36&amp;HCM=90&amp;HRM=36","Harapan ville","","Pays Dur / Harapan","90","36"
"141","","Gadaviel","","HC=81&amp;HR=31&amp;HCM=74&amp;HRM=26","&quot;caverne&quot; de Serviable","","Landes Amères","74","26"
"142","","Wulfram","","HC=45&amp;HR=13&amp;HCM=40&amp;HRM=4","Morteforêt","","Côte Gelée / Baie Vaseuse","40","4"
"143","","Lear","","HC=69&amp;HR=63&amp;HCM=60&amp;HRM=56","La Sérénissime","","La Verte / Le Grenier / La Sérénissime","60","56"
"144","","Monstres","","HC=96&amp;HR=99&amp;HCM=88&amp;HRM=93","Donga &amp; Goules","","Golfe des Epices","88","93"
"145","","Monstres","","HC=103&amp;HR=104&amp;HCM=96&amp;HRM=94","Mahouds &amp; Chamanes","","Terres Condamnées / La Mâchoire","96","94"
"146","","Monstres","","HC=87&amp;HR=103&amp;HCM=80&amp;HRM=97","Mahouds &amp; Mystique","","Terres Condamnées","80","97"
"148","","Bakhtawar","","HC=82&amp;HR=86&amp;HCM=74&amp;HRM=73","Kokiyajakayou","","Pays des Caïmans","74","73"
"151","","Destin","","HC=13&amp;HR=80&amp;HCM=6&amp;HRM=74","Château de Haute quête","","Baie des Naufragés","6","74"
"152","","Tribus","","HC=103&amp;HR=104&amp;HCM=92&amp;HRM=94","Anateseka (Volcan)","","Terres Condamnées / La Mâchoire","92","94"
"153","","Tribus","","HC=104&amp;HR=97&amp;HCM=96&amp;HRM=94","Ghuba (Golfe)","","Golfe des Epices / Grande Baie","96","94"
"154","","Tribus","","HC=96&amp;HR=99&amp;HCM=86&amp;HRM=93","Viungo (Epices)","","Golfe des Epices","86","93"
"155","","Tribus","","HC=87&amp;HR=103&amp;HCM=82&amp;HRM=97","N&apos;Chi Hatia (Terres Condamnées)","","Terres Condamnées","82","97"
"156","","Tribus","","HC=117&amp;HR=97&amp;HCM=106&amp;HRM=91","Kubwa (Grande Baie)","","Grande Baie","106","91"
"157","","Tribus","","HC=59&amp;HR=107&amp;HCM=48&amp;HRM=100","Kusonga (Jungle Mouvante)","","Jungle Mouvante / Toko","48","100"
"158","","Tribus","","HC=70&amp;HR=108&amp;HCM=62&amp;HRM=100","Jangwa (Mirages)","","Erg des Mirages","62","100"
"159","","Arsthan","","HC=61&amp;HR=21&amp;HCM=58&amp;HRM=16","VersHarapan1","","Plaines du Sabot / Kholf","58","16"
"160","","Arsthan","","HC=61&amp;HR=21&amp;HCM=74&amp;HRM=16","VersHarapan2","","Plaines du Sabot / Kholf","74","16"
"161","","Arsthan","","HC=61&amp;HR=21&amp;HCM=90&amp;HRM=16","VersHarapan3","","Plaines du Sabot / Kholf","90","16"
"162","","Arsthan","","HC=61&amp;HR=21&amp;HCM=86&amp;HRM=24","VersHarapan4","","Plaines du Sabot / Kholf","86","24"
"163","","Wulfram","","HC=70&amp;HR=36&amp;HCM=62&amp;HRM=30","Volcan des Landes amères","","Landes Amères","62","30"
"165","","Engelbert","","HC=62&amp;HR=16&amp;HCM=52&amp;HRM=9","Base Givrecroc","","Plaines du Sabot","52","9"
"167","","Wulfram","","HC=89&amp;HR=26&amp;HCM=74&amp;HRM=18","Comptoir caravanier du pays dur","","Vielle Forêt / Pays Dur","74","18"
"168","","Engelbert","","HC=49&amp;HR=18&amp;HCM=42&amp;HRM=8","PetitPort","","Baie Vaseuse","42","8"
"171","","Vlichtwasser","","HC=70&amp;HR=96&amp;HCM=54&amp;HRM=93","Kazi","","Hitze / Jungle Mahoud","54","93"
"174","","Oswald","","HC=49&amp;HR=5&amp;HCM=46&amp;HRM=1","Enclave Yanovienne","","Côte Gelée / Yanovie","46","1"
"179","","Engelbert","","HC=44&amp;HR=14&amp;HCM=36&amp;HRM=8","Mortgourbi","","Côte Gelée / Baie Vaseuse","36","8"
"180","","Engelbert","","HC=57&amp;HR=10&amp;HCM=48&amp;HRM=8","Morneval","","Collines de Glace","48","8"
"183","","Destin","","HC=50&amp;HR=5&amp;HCM=42&amp;HRM=0","Enclave Yanovienne","","Côte Gelée / Yanovie","42","0"
"184","","Lear","","HC=96&amp;HR=54&amp;HCM=88&amp;HRM=48","Thesselonië","","Grande Forêt / Montagnes de Bourbe / Ghestalt","88","48"
"188","","Caravanes","","HC=18&amp;HR=108&amp;HCM=10&amp;HRM=100","Brashenaïr","","Monts Perdus / Baie du Trident","10","100"
"190","","Caravanes","","HC=106&amp;HR=62&amp;HCM=98&amp;HRM=56","Kalinda","","Côte Chaude","98","56"
"191","","Caravanes","","HC=93&amp;HR=98&amp;HCM=86&amp;HRM=92","Ehpola","","Golfe des Epices","86","92"
"192","","Caravanes","","HC=66&amp;HR=88&amp;HCM=58&amp;HRM=82","Nopotepem","","Mer de la Soif / Hitze","58","82"
"193","","Caravanes","","HC=83&amp;HR=58&amp;HCM=76&amp;HRM=52","Zebonn","","Le Grenier","76","52"
"194","","Caravanes","","HC=49&amp;HR=98&amp;HCM=42&amp;HRM=88","Akhmanutep","","Vallée des Mourants","42","88"
"195","","Caravanes","","HC=105&amp;HR=90&amp;HCM=98&amp;HRM=84","Aerola","","Grande Baie","98","84"
"196","","Caravanes","","HC=42&amp;HR=61&amp;HCM=34&amp;HRM=55","Rommon","","Golfe de Pierre / Grand Archipel","34","55"
"197","","Caravanes","","HC=38&amp;HR=46&amp;HCM=34&amp;HRM=40","Heilpoort ","","Côte d&apos;Arain","34","40"
"198","","Caravanes","","HC=75&amp;HR=23&amp;HCM=64&amp;HRM=17","Colporros","","Collines Sanglantes / Crache flammes","64","17"
"199","","Caravanes","","HC=33&amp;HR=88&amp;HCM=26&amp;HRM=82","Ghiz-Ghân","","Côte Fantôme / Empire d&apos;Or","26","82"
"200","","Caravanes","","HC=40&amp;HR=104&amp;HCM=28&amp;HRM=94","Zodadd","","Bassin des Embruns","28","94"
"201","","Caravanes","","HC=102&amp;HR=26&amp;HCM=94&amp;HRM=20","Taheul","","Vielle Forêt / Terre des Trolls / Pays Dur / Mer Fumante","94","20"
"202","","Tievani","","HC=8&amp;HR=42&amp;HCM=0&amp;HRM=42","Reva Ava Nehenehe","","Atoll de Saumure","0","42"
"205","","Lear","","HC=79&amp;HR=69&amp;HCM=68&amp;HRM=64","Le Grand Ecrin","","Grand Ecrin","68","64"
"206","","Bakhtawar","","HC=63&amp;HR=84&amp;HCM=52&amp;HRM=77","Radjadja","","Mer de la Soif","52","77"
"207","","Torgiel","","HC=82&amp;HR=36&amp;HCM=74&amp;HRM=30","Pa mal de frik","","Landes Amères / Sevel","74","30"
"208","","Wolfen","","HC=81&amp;HR=31&amp;HCM=74&amp;HRM=24","Campement serviable","","Landes Amères","74","24"
"209","","Wolfen","","HC=58&amp;HR=17&amp;HCM=52&amp;HRM=9","Fontaine dorée - Mine d&apos;or","","Plaines du Sabot / Midgard","52","9"
"213","","Monstres","","HC=70&amp;HR=44&amp;HCM=62&amp;HRM=39","MatsunKabir","","Haut Empire / Forêt Centrale","62","39"
"215","","Lear","","HC=116&amp;HR=56&amp;HCM=102&amp;HRM=46","Le Lac Perché","","Lac Perché","102","46"
"216","","Wulfram","","HC=&amp;HR=&amp;HCM=54&amp;HRM=25","Tieftür","","Kholf / Le Coeur","54","25"
"217","","Nikolai","","HC=56&amp;HR=15&amp;HCM=42&amp;HRM=5","Caprice","","Plaines du Sabot / Midgard","42","5"
"218","","Gadaviel","","HC=113&amp;HR=17&amp;HCM=106&amp;HRM=11","Nebferathi (objectif mystérieux)","","Terre des Trolls / Vallée des géants","106","11"
"220","","Babotchkine","","HC=71&amp;HR=57&amp;HCM=64&amp;HRM=51","Palude","","La Verte / Le Grenier / La Sérénissime","64","51"
"221","","Shwarzkoff","","HC=69&amp;HR=21&amp;HCM=60&amp;HRM=15","Tour de feu","","Plaines du Sabot / Collines Sanglantes","60","15"
"223","","Anui","","HC=54&amp;HR=18&amp;HCM=52&amp;HRM=14","Cap Pourpre","","Plaines du Sabot / Midgard","52","14"
"224","","Babotchkine","","HC=70&amp;HR=36&amp;HCM=64&amp;HRM=27","Lac et Volcan","","Landes Amères","64","27"
"225","","Zavatta","","HC=101&amp;HR=50&amp;HCM=90&amp;HRM=44","Via Mussoli","","Grande Forêt / Montagnes de Bourbe / Ghestalt","90","44"
"226","","Shwarzkoff","","HC=52&amp;HR=5&amp;HCM=44&amp;HRM=0","Vaslow","","Côte Gelée / Collines de Glace / Yanovie","44","0"
"227","","Zavatta","","HC=105&amp;HR=41&amp;HCM=92&amp;HRM=35","Fèbl","","Monts Morts","92","35"
"229","","Morjul","","HC=70&amp;HR=44&amp;HCM=56&amp;HRM=38","MatsunKabir","","Haut Empire / Forêt Centrale","56","38"
"230","","Officier","","HC=49&amp;HR=62&amp;HCM=42&amp;HRM=56","Comptoir du Califat","","Golfe de Pierre / Mer du Sommeil","42","56"
"231","","Officier","","HC=52&amp;HR=55&amp;HCM=44&amp;HRM=49","Centre de la Jungle Rafflée","","Golfe de Pierre","44","49"
"232","","Officier","","HC=36&amp;HR=63&amp;HCM=28&amp;HRM=57","La Croisée des Chemins","","Ile de Feu / Grand Archipel","28","57"
"233","","Yvand","","HC=49&amp;HR=62&amp;HCM=42&amp;HRM=56","Comptoir du Califat","","Golfe de Pierre / Mer du Sommeil","42","56"
"234","","Yvand","","HC=67&amp;HR=43&amp;HCM=60&amp;HRM=37","Malkograd","","Haut Empire","60","37"
"235","","Torgiel","","HC=69&amp;HR=31&amp;HCM=62&amp;HRM=26","poste drogskoll","","Landes Amères","62","26"
"236","","Nikolai","","HC=52&amp;HR=5&amp;HCM=42&amp;HRM=1","Cité en ruine de Vaslow","","Côte Gelée / Collines de Glace / Yanovie","42","1"
"239","","Torgiel","","HC=69&amp;HR=30&amp;HCM=60&amp;HRM=26","50 miltaires et une demeure étrange Drogskoll","","Landes Amères","60","26"
"240","","Torgiel","","HC=74&amp;HR=25&amp;HCM=68&amp;HRM=19","antre +51 unité militaires von kholf ","","Collines Sanglantes / Crache flammes","68","19"
"241","","Vlichtwasser","","HC=81&amp;HR=82&amp;HCM=72&amp;HRM=74","N&apos;Ro 15 goules , une plante carnivore","","Pays des Caïmans","72","74"
"243","","Vittel","","HC=96&amp;HR=52&amp;HCM=88&amp;HRM=44","Miroir des Fées - NE","","Grande Forêt / Montagnes de Bourbe / Ghestalt","88","44"
"245","","Zavatta","","HC=85&amp;HR=39&amp;HCM=78&amp;HRM=34","Route amère","","Landes Amères / Forêt Centrale","78","34"
"246","","Brumor","","HC=74&amp;HR=45&amp;HCM=66&amp;HRM=39","Seigneur Arbre ","","Forêt Centrale","66","39"
"247","","Vittel","","HC=86&amp;HR=67&amp;HCM=74&amp;HRM=61","Miroir des Fées - SO (désert)","","Grand Ecrin / Vallée de l&apos;Encens","74","61"
"248","","Mahoud","","HC=52&amp;HR=97&amp;HCM=48&amp;HRM=87","Helsbrug","","Hitze / Vallée des Mourants","48","87"
"249","","Shwarzkoff","","HC=53&amp;HR=7&amp;HCM=46&amp;HRM=0","Les deux hydres","","Collines de Glace / Yanovie","46","0"
"253","","Gadaviel","","HC=106&amp;HR=22&amp;HCM=98&amp;HRM=15","Forge de Kromont (4 charbonnier, 1 Forgeron+bat)","","Terre des Trolls / Mer Fumante","98","15"
"255","","Engelbert","","HC=75&amp;HR=23&amp;HCM=58&amp;HRM=15","Colporros","","Collines Sanglantes / Crache flammes","58","15"
"256","","Scrotomus","","HC=75&amp;HR=23&amp;HCM=60&amp;HRM=18","Colporros (caravanes)","","Collines Sanglantes / Crache flammes","60","18"
"260","","Gadaviel","","HC=117&amp;HR=64&amp;HCM=110&amp;HRM=58","Gobi (56 dricks)","","Côte Chaude / Domaine des Baladins","110","58"
"261","","Empire2","","HC=67&amp;HR=18&amp;HCM=60&amp;HRM=14","Fortberg","","Plaines du Sabot","60","14"
"262","","Empire2","","HC=95&amp;HR=36&amp;HCM=88&amp;HRM=30","Harapan ville","","Pays Dur / Harapan","88","30"
"263","","Empire2","","HC=50&amp;HR=34&amp;HCM=44&amp;HRM=24","Mussgold","","Mer Impériale / Kholf / Le Coeur","44","24"
"264","","Empire2","","HC=75&amp;HR=22&amp;HCM=68&amp;HRM=16","Steinpass","","Collines Sanglantes / Crache flammes","68","16"
"265","","Empire2","","HC=64&amp;HR=20&amp;HCM=54&amp;HRM=14","Obstgarten","","Plaines du Sabot / Kholf","54","14"
"266","","Empire2","","HC=69&amp;HR=30&amp;HCM=62&amp;HRM=24","Lebenstein","","Landes Amères","62","24"
"267","","Empire2","","HC=67&amp;HR=12&amp;HCM=60&amp;HRM=6","Chapelle des Valeureux","","Collines de Glace","60","6"
"268","","Empire2","","HC=53&amp;HR=14&amp;HCM=46&amp;HRM=6","Midgard","","Collines de Glace / Plaines du Sabot / Midgard","46","6"
"270","","Empire2","","HC=54&amp;HR=28&amp;HCM=46&amp;HRM=20","Empire","","Plaines du Sabot / Kholf / Le Coeur","46","20"
"272","","Bakhtawar","","HC=59&amp;HR=85&amp;HCM=50&amp;HRM=81","Terres de la Soif","","Mer de la Soif","50","81"
"273","","Nikolai","","HC=94&amp;HR=60&amp;HCM=84&amp;HRM=52","Eög","","Grande Forêt / Vallée de l&apos;Encens / Miroir des fées","84","52"
"275","","Bakhtawar","","HC=29&amp;HR=77&amp;HCM=22&amp;HRM=71","N&apos;Delu (île Califat)","","Détroit d&apos;Espérance / Côte Fantôme","22","71"
"276","","Mahoud","","HC=29&amp;HR=77&amp;HCM=22&amp;HRM=67","N&apos;Delu (île Califat)","","Détroit d&apos;Espérance / Côte Fantôme","22","67"
"277","","Mahoud","","HC=17&amp;HR=67&amp;HCM=10&amp;HRM=63","Route maritime Tievanni","","Atoll de Feu / Détroit d&apos;Espérance","10","63"
