"ID","Nom","Type","Deplacement","TypeDeplacement","PointsArmee","TauxProduction","TypeProduction","Evolution","ConditionPour","Nation","Pic","CargMat","CargMil","CargCiv","Detection","Discretion","Camouflage","Domaines","DomainesAttaq","Portee","Precision","Esquive","Couverture","PuissanceOff","PuissanceDef","Armure","Resistance","Rapidite","Moral","Loyaute","TauxProductionSec","TypeProductionSec","CargMV","ArretMarchand","AjustType","AjustTaux","CoutDricks","CoutUnitType","CoutUnitQ","CoutResType1","CoutResQ1","CoutResType2","CoutResQ2","CoutResType3","CoutResQ3","UnitProduite","Flag","Natures","NaturesAttaq","MaxPetitesCibles","Robustesse","ServantType","ServantMin","Attitude","NombrePourRencontres","TirEmbarque","RessourcesProduites1","RessourcesProduites2","UniteRequise","ProductionTypeUnite","ProductionNbrUnite","TempsDeConstruction","EnConstruction","RessourcesRecoltees","TauxRecolte","UniteRequise2","UniteRequise3","AjustRecolteUnite","AjustRecolteTaux","Medecine","CompetenceSpeciale","CompetenceTaux","ChefDeChantier","Terraform","SousType","DemantelerPour","Help","Disette","SousTypeCreatures","Sanitaire","Population","TechnoProhib","ProductionMaxUnite","EquivalentPaysan","AAbattre","ACouvrir","PonteAleatoire","EffetArmures","DegatsMorts","Imparable","TechnoAssoc","LogTypeProhib","UnitExistReq","NomVisible","RencontreAvec","NoteDeConstruction","PonteClassique","Irrigation","PersonnelMinimum","RealPOP","AEpargner","Producteur","LairType","EntretienRes","EntretienQuant","Formation","UniteRequise4","CoutResType4","CoutResQ4","EntretienMaj","PicNV","Endurance","Regime","PicType"
"11","Goule","Soldat","7","MCEclaireurs","6","","Necro","","","","newghoul.jpg","0","0","","95","45","25","Terrestre","Terrestre","1","25","27","20","5","4","10","12","6","2","20","","","","","","","","Zombie","1","Cadavres frais","15","Pierres de vie","1","","","15","Spy","Mort","Vivant_Monstre_Mort","1","","","","Chasse_Faibles","24","yes","","","Crypte","","","3","20160607154646","_Cadavres frais_","2","","","","","","","","","","Necromancie","","","","","-1","Rencontre","Bardes","","","Zombies","","","Double","Moitier","vision","","","","","","","","","","2","2","2","Cache","","","","","","","","","100","Charognard",""
"12","Lancier","Soldat","5","MCFanLeger","10","","Def","","","","newlancier.jpg","0","0","","65","25","0","Terrestre","Terrestre_Marin","2","35","30","6","4","6","20","14","6","1","50","","","","","","","3","Paysan","1","Metal","5","Bois","5","Nourriture","12","24","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Tour de guet","","","3","20160225171001","","","Lancier","","","","","","","","","","","","","Soldat_Defense","","","","","","Conscrits","","","Double","Tiers","","","BS_BA_XX","","","","","","","","2","1","1","","","","","","Moral","6","","","35","Omnivore",""
"13","Piquier","Soldat","5","MCFanLourd","31","","Def","","","","newpiquier.jpg","0","0","","65","25","0","Terrestre","Terrestre","2","47","37","6","5","7","40","17","6","1","60","","","","","","","9","Paysan","1","Acier","9","Bois","6","Nourriture","9","18","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Donjon","","","6","20160224030401","","","Redoute","Piquier","","","","","","","","","","","","Soldat_Defense","","","","","","Soldats","","","","Moitier","","","BS_BA_OR_NA","","","","","","","","2","3","3","","","","","","","","","","55","Omnivore",""
"14","Hallebardier","Soldat","5","MCFanLourd","28","","Att","","","","newhalb.jpg","0","0","","65","25","0","Terrestre","Terrestre","2","50","35","6","7","5","35","17","5","1","60","","","","","","","6","Paysan","1","Acier","6","Bois","6","Cuir","1","18","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Arsenal","","","7","20160224030401","","","Place forte","Fortin","","","","","","","","","","","","Soldat_Attaque","","","","","","Soldats","","","","Moitier","","","BS","","","","","","","","2","2","2","","","","","","Nourriture","9","","","50","Omnivore",""
"15","Pistoliers","Soldat","6","MCFanLeger","76","","Techno_Att","","","","pistoliers.jpg","0","0","","65","20","0","Terrestre","Terrestre_Marin_Volant","2","60","45","6","9","7","20","18","8","1","60","","","","","","","18","Paysan","1","Acier","4","Charbon","12","Engrenages","2","18","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","","","","","Fonderie","","","14","20160529131116","","","","","","","","","","","","","","","","Soldat_Attaque","","","","","","","yes","","Moitier","Moitier","","","BS","01_Arsenal","","","","","","","2","4","4","","","","","","Cuir","3","","","55","Omnivore",""
"16","Baliste","Machine","4","MCFanLourd","183","","Att_Construct","","","","ballista.jpg","0","0","","0","10","-10","Terrestre","Terrestre_Marin_Volant","4","65","5","0","20","20","35","30","8","0","65","","","","","","","7","","","Chevrons de construction","1","Acier","2","Bois","5","1","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique","3","","","2","Attaque","2","no","","","Armurerie","","","3","20160729210852","","","Redoute","Grokan","","","","","","","","","","","","","","","","","","","","","Moitier","Moitier","","_Brigand_Saltimbanque_Eclaireur_Espion_Marchand_Milicien_Capitaine","","","","","","chateau","","","4","13","13","","","","","","","","","","80","Omnivore",""
"17","Catapulte","Machine","4","MCEngin","283","","Att_Construct","","","","catanew.jpg","0","0","","0","5","-10","Terrestre","Terrestre_Marin","4","55","0","10","35","35","45","50","6","0","65","","","","","","","10","","","Bois","6","Chevrons de construction","3","Acier","3","1","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique_Batiment","4","","","2","Attaque","2","no","","","Arsenal","","","7","20160529131116","","","Grokan","Tour sombre","","","","Bombardement","2","","","","","","","","","","","","","","yes","","Moitier","","","_Brigand_Saltimbanque_Eclaireur_Espion_Marchand_Milicien_Capitaine","","01_Armurerie","","","","chateau","","","4","22","22","","","","","Capitaine Mercenaire (v)","Pierre","12","","","80","Omnivore",""
"18","Trébuchet","Machine","2","MCEngin","448","","Att_Construct","","","","greekfirecatapult.jpg","0","0","","0","0","-10","Terrestre","Terrestre_Marin","4","65","0","10","45","45","50","70","3","0","65","","","","","","","18","","","Bois","20","Acier","5","Chevrons de construction","8","1","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique_Batiment","5","","","3","Attaque","1","no","","","Donjon","","","14","20160529131116","","","Mangonneau","Gobelingénieur","","","","Bombardement","10","","","","","","","","","","","","","","yes","","Ignore","","demolition","","","01_Armurerie","","","","forteresse","","","4","44","44","","","","","Tour sombre","Pierre","30","","","80","Omnivore",""
"19","Canon","Machine","4","MCEngin","688","","Techno_Att","","","","canon.jpg","0","0","","0","5","-10","Terrestre","Terrestre_Marin_Volant","4","60","0","10","80","80","65","80","11","0","65","","","","","","","18","","","Acier","10","Bois","4","Charbon","20","1","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique_Batiment","7","","","3","Attaque","1","no","","","Arsenal","","","21","20160529131116","","","Institut des sciences","","","","","Bombardement","10","","","","","","","","","","","","","","yes","yes","Ignore","Double","yes","_Brigand_Saltimbanque_Eclaireur_Espion_Marchand_Milicien_Capitaine","BS_NA","01_Fonderie","","","","citadelle","","","4","64","64","","","","","","Engrenages","1","","","80","Omnivore",""
"20","Engin mécanisé","Machine","1","MCEngin","479","","Techno","","","","Engin mecanise.JPG","0","0","","0","10","-10","Terrestre","Terrestre_Marin_Volant","4","85","5","0","42","42","55","80","12","0","65","","","","","","","12","","","Bois","6","Acier","3","Engrenages","3","1","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique_Batiment","10","","","1","Attaque","1","yes","","","Atelier mécanisé","","","14","20160529131116","","","Chantier naval mécanisé","","","","","","","","","","","","","","","","","","","","yes","yes","Moitier","Moitier","","_Brigand_Saltimbanque_Eclaireur_Espion_Marchand_Milicien","BS_NA","01_Ingénieur militaire","","","","citadelle","","","4","53","53","","","","","","Charbon","6","","","90","Omnivore",""
"21","Engin enchanté","Machine","4","MCEngin","460","","Magie","","","","engench.jpg","0","0","","0","0","-10","Terrestre","Terrestre_Marin_Volant","4","70","10","0","35","35","65","70","12","0","65","","","","","","","9","Alchimiste","1","Bois","6","Engrenages","1","Pierres de vie","8","1","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique_Batiment_Magique","4","","","2","Attaque","2","yes","","","Académie du dogme","","","15","20160529131116","","","","","","","","Bombardement","7","","","","","","","Tisseur","","","","","","","yes","yes","Ignore","","yes","_Milicien_Marchand_Espion_Eclaireur_Saltimbanque_Brigand","","01_Arsenal","","","","academie","","","4","60","60","","","","","","","","","","80","Omnivore",""
"22","Engin volant","Machine","15","MCVolant","366","","Techno","","","","Engin volant.jpg","10","48","","90","15","-10","Volant","Terrestre_Marin_Volant","3","40","20","0","15","15","35","45","8","0","65","","","","","","","20","Unité de génie","1","Bois","15","Voile","3","Engrenages","3","1","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","4","no","","","Université","","","28","20160301134238","","","","","","","","","","","","","","","","","","","","","","","","yes","","Moitier","","_Brigand_Saltimbanque_Espion_Milicien_Mercenaire","BS","03_Ingénieur militaire","","","","","","","4","93","93","","","","","","Charbon","15","","","75","Omnivore",""
"23","Tribunal de justice","Civil_Guardien","2","MCFanLourd","16","3","Populo_Plouto","Milicien","","","tribunal de justice.JPG","0","0","","90","25","0","Terrestre","Terrestre_Marin_Volant","3","25","20","6","5","5","20","15","15","60","20","","","","","","","15","Paysan","1","Papier","3","Acier","1","Tissu","1","1","Pce","Vivant","Vivant_Monstre_Mort_Mecanique","","","","","Attaque","1","","Moral","","Prisons","","","14","20160402155945","","","Université","Château","","","","Capture","40xHLL","","","","","","","Guard","","","","","","","yes","","Moitier","Moitier","yes","_Brigand","BS_PR","","","","","yes","","","20","40","40","","","","Hôtel de ville","Hôtel de ville","Moral","30","","","65","Omnivore",""
"24","Combattants embarqués","Soldat","4","MCFanLeger","11","","Navig","","","","xnewcemb.jpg","0","0","","65","25","0","Terrestre","Terrestre_Marin","1","32","32","6","5","5","20","16","5","1","50","","","_Capitaine","","","","3","Marin","6","Acier","3","Cuir","2","Perles","1","12","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","1","","","","Attaque","12","yes","","","Combattants embarqués","","","3","20160414155333","","","Port","Rafleurs","","","","","","","","","","","","Marin","","","","","","Marins","","","","Moitier","","","","","","","","","","","2","2","2","","","","Villa","Villa","","","","","40","Omnivore",""
"25","Engin embarqué","Machine","1","MCEngin","260","","Att_Construct","","","","","0","0","_Capitaine","0","10","-10","Terrestre_Marin","Terrestre_Marin_Volant","4","45","5","0","28","28","40","50","9","0","65","","","","","","","12","","","Bois","4","Chevrons de construction","2","Acier","3","1","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique_Batiment","5","","","1","Attaque","","yes","","","Port","","","7","20160529131116","","","Villa","Arsenal","","","","","","","","","","","","","","","","","","","yes","","Moitier","Moitier","","_Brigand_Saltimbanque_Eclaireur_Espion_Marchand_Milicien_Mercenaire","","01_Armurerie","","","","","","","4","22","22","","","","","","","","","","80","Omnivore",""
"26","Grenadiers","Soldat","5","MCFanLeger","84","","Techno_Att","","","","grenad8.jpg","0","0","","65","25","0","Terrestre","Terrestre_Marin_Volant","2","50","40","6","10","8","15","20","4","1","70","","","","","","","12","Sapeur (v)","9","Acier","3","Charbon","18","Spiritueux","3","9","Mil","Vivant","Vivant_Monstre_Mort_Mecanique","3","","","","Attaque","","","","","Laboratoire","","","14","20160529131116","","","Université","Forteresse","","","","Confusion","1","","","","","","","Soldat_Attaque","","","","","","","yes","","","","demolition_yes","","BS","01_Arsenal","","","","","","","2","9","9","","","","","","Acier de Grim","1","","","65","Omnivore",""
"27","Canons de marine","Machine","1","MCEngin","512","","Techno_Def","","","","canon de marine.jpg","0","0","_Capitaine","0","5","-10","Terrestre","Terrestre_Marin_Volant","4","45","0","10","65","65","60","70","0","0","65","","","","","","","18","","","Acier","10","Bois","4","Charbon","20","1","Mil","Mecanique","Vivant_Monstre_Mort_Mecanique_Batiment","5","","","3","Attaque","5","yes","","","Chantier naval mécanisé","","","18","20160529131116","","","","","","","","Bombardement","7","","","","","","","","","","","","","","yes","yes","Ignore","Double","yes","_Mercenaire_Milicien_Marchand_Espion_Eclaireur_Saltimbanque_Brigand","BS","01_Fonderie","","","","","","","4","64","64","","","","","","Engrenages","1","","","80","Omnivore",""
"28","Tisseur","Civil","5","MCFanLeger","71","","Magie","","","","Tisseur.jpg","0","0","","80","35","0","Terrestre","Terrestre_Marin_Volant","4","45","60","8","6","10","15","13","7","1","65","","","","","","","","Paysan","1","Papier","2","Pierres de vie","9","Gemmes","2","3","Mil","Vivant","Vivant_Monstre_Mort_Mecanique_Magique","2","","","","Attaque","5","","","","Ecole de magie","","","10","20160406071542","","","Enchanteur","Tisseur","","","","Quotas","PDV30","","","Magie","","","","Tisseur","","","","","","","yes","yes","Ignore","Moitier","yes","","BS_BA_OR_NA_PR_XX","","","","","","","","6","15","17","","","","Ecole de magie","","","","","","65","Omnivore",""
"29","Créature","Creature","7","MCFanLeger","103","","Alchi","","","","creaturealchi.jpg","0","0","","45","15","0","Terrestre","Terrestre","1","30","20","0","10","12","30","60","4","0","70","","","","","","","12","","","Cuir","12","Pierres de vie","12","Cadavres frais","24","6","Mil","Monstre","Vivant_Monstre_Mort_Mecanique","2","","","","Attaque","5","","","","Alchimiste","","","14","20160324131653","","","Laboratoire","Gobalchimiste","","","","Berserk","4","","","","Cadavre","","","Creature","","Rencontre","","","","CreaAlchi","","yes","","Moitier","","","","01_Alchimiste","","","","laboratoire","","","4","15","15","","","","","","Drogues","3","","","50","Charognard",""
"30","Armes enchantées","Soldat","6","MCFanLeger","83","","Magie","","","","Arme enchantee.png.jpg","0","0","","65","25","0","Terrestre","Terrestre_Marin","2","55","45","10","7","6","40","18","7","1","65","","","","","","","10","Paysan","1","Acier","5","Gemmes","3","Pierres de vie","20","14","Mil","Vivant","Vivant_Monstre_Mort_Mecanique_Magique","2","","","","Attaque","12","","","","Académie du dogme","","","14","20160301121433","","","Enchanteur","","","","","","","","","Magie","","","","Tisseur_Soldat_Attaque","","","","","","","","yes","Moitier","","yes","","","01_Arsenal","","","","academie","","","2","7","7","","","","","","","","","","75","Omnivore",""
"31","Créature volante","Creature","12","MCVolant","224","","Alchi","","","","flight-path.jpg","0","0","","90","10","0","Terrestre_Marin_Volant","Terrestre_Marin_Volant","1","35","30","0","8","8","30","50","9","0","70","","","","","","","24","","","Cuir","6","Pierres de vie","12","Cadavres frais","12","3","Mil","Monstre","Vivant_Monstre_Mort_Mecanique","2","","","","Attaque","2","","","","Université","","","21","20160529131116","","","Académie du dogme","","","","","Berserk","3","","","","Cadavre","","","Creature","","Rencontre","","","","CreaAlchi","","","","","","","","01_Laboratoire","","","","laboratoire","","","3","27","27","","","","","","Drogues","3","","","50","Charognard",""
"32","Paysan","Civil","5","MCFanLeger","5","","","","","","fermisan.jpg","0","0","","55","25","0","Terrestre","Terrestre","1","20","20","6","3","4","5","30","4","0","25","","","","","","","","","","Base","1","","","","","1","Pce","Vivant","Vivant_Monstre_Mort","","","","","Inoffensif","","","","","","Paysan","40","","20160301132714","_Cereales_Fruits_Vegetaux_Bois_Pierre_Gibier_Poissons_Dricks_","2","","","","","","","","","","Agriculture","Esclave","","","Recolteurs","","Citoyen","","","","","yes","","Double","Moitier","","","","","","","","","","","30","22","16","","","","","","","","","","25","Omnivore",""
"33","Fermier","Civil","5","MCFanLeger","2","3","Agri","","","","ffermier.jpg","0","0","","55","25","0","Terrestre","Terrestre","1","20","20","6","3","4","5","10","4","0","30","2","","","","","","1","Paysan","1","Bois","3","Nourriture","3","Metal","1","1","Pce","Vivant","Vivant_Monstre_Mort","","","","","Inoffensif","","","Cereales","Vegetaux","Réserve","Fermier","24","2","20160301132714","_Cereales_Fruits_Vegetaux_","5","Fermier","","","","","","","","","Agriculture","Manants","","","Recolteurs","","Citoyen","","","","","yes","","Double","Moitier","","_Brigand_Saltimbanque_Eclaireur_Espion_Marchand_Milicien_Mercenaire_Capitaine","","","","","","","","","20","19","19","","","","","","","","","","25","Omnivore",""
"34","Cantinier","Civil","5","MCFanLeger","1","2","Medic","","","","cantinier.png","0","0","","65","25","0","Terrestre","Terrestre","1","15","20","6","3","3","10","12","5","0","35","","","","","","","6","Fermier","1","Nourriture","12","Vegetaux","18","","","6","Pce","Vivant","Vivant_Monstre_Mort","1","","","","Defense","","yes","Moral","","Cantinier","","","3","20160529131116","","","Bibliothèque","Herboriste","","","3","","","","","Medecine","","Un cantinier soigne les maladies et à une chance de sauver des unités après le combat.","","","7","","","","","Civils","yes","","Double","Moitier","","","","","","","","","","","6","3","6","","","","Bibliothèque","Sage","","","","","25","Omnivore",""
"35","Barbier","Civil","5","MCFanLeger","1","2","Medic","","","","barbier.png","0","0","","65","25","0","Terrestre","Terrestre","1","15","20","6","3","3","10","12","6","0","50","","","","","","","3","Cantinier","2","Acier","2","Vegetaux","6","Cadavres frais","2","2","Pce","Vivant","Vivant_Monstre_Mort","1","","","","Defense","","","Moral","","Hospice","","","5","20160529131116","","","Bibliothèque","Miraculé","","","6","","","","","Medecine","","Un barbier soigne les maladies et à une chance de sauver des unités après le combat.","","","7","","","","","","yes","","","","","","","","","","","","","","8","10","10","","","","Séminaire","Barbier","","","","","30","Omnivore",""
"36","Chirurgien","Civil","5","MCFanLeger","3","3","Medic","","","","doctor.jpg","0","0","","65","25","0","Terrestre","Terrestre","","20","20","6","3","5","10","13","6","0","65","","","","","","","","Barbier","1","Drogues","1","Epices","1","Cadavres frais","2","1","Pce","Vivant","Vivant_Monstre_Mort","1","","","","Defense","3","yes","Moral","","Hôpital","","","7","20160301221148","","","Séminaire","Université","","","12","","","","","Medecine","","Un chirurgien soigne les maladies et à une chance de sauver des unités après le combat.","","","7","","","","","","yes","","Double","Moitier","","_Marchand_Espion_Eclaireur_Saltimbanque_Brigand","","","","","","yes","","","10","18","18","","","","Université","Chirurgien","Tissu","1","","","65","Omnivore",""
"37","Esclave","Civil","5","MCFanLeger","5","-2","Esclav","","","","priso77.jpg","0","0","_Marchand","55","25","0","Terrestre","Terrestre","1","20","25","6","4","4","5","20","4","0","5","","","","","","","","Paysan","1","Moral","12","","","","","1","Pce","Vivant","Vivant_Monstre_Mort","","","","","Inoffensif","","","Moral","","Réserve","","","0","20160224015349","_Cereales_Fruits_Vegetaux_Gibier_Poissons_Bois_Pierre_Cadavres frais_","3","Esclave","","","","","","","","","Esclavage","Cadavre","","","Recolteurs","","","","","","Esclaves","yes","","Double","Moitier","","_Saltimbanque","","","","","","","","","20","8","8","","","","","","","","","","40","Omnivore",""
"38","Mineur","Civil","5","MCFanLeger","3","","Indus","","","","Mineur.jpg","0","0","","55","25","0","Terrestre","Terrestre","1","20","20","6","4","5","5","13","4","0","25","","","","","","","1","Paysan","1","Nourriture","3","Bois","2","Metal","1","2","Pce","Vivant","Vivant_Monstre_Mort","","","","","Inoffensif","","","","","Réserve","Mineur","24","2","20160224015349","_Pierre_Metal_Gemmes_Charbon_Dricks_","3","Mineur","","","","","","","","","Mines","Gueux","","","Recolteurs","","Citoyen","","","","","yes","","Double","","","","","","","","","","","","12","10","10","","","","","","Moral","6","","","40","Omnivore",""
