"ID","Player","Unit"
"307","Serenissime","Boulangerie"
"308","Serenissime","Atelier de tisserand"
"309","Serenissime","Cantinier"
"310","Serenissime","Moulin à eau"
"311","Empire","Esclave"
"312","Empire","Brasserie"
"313","Empire","Irrigation"
"314","Empire","Enclos"
"315","Empire","Chapelle"
"316","Empire","Infirmerie"
"317","Empire","Manège"
"318","Empire","Marché aux poissons"
"320","Empire","Cavalerie légère"
"321","Empire","Camp"
"322","Empire","Marin"
"323","Empire","Hospice"
"324","Empire","Prêtre"
"325","Empire","Lancier"
"326","Empire","Carrière mécanisée"
"327","Empire","Constructeur naval"
"328","Empire","Barbier"
"330","Empire","Armurerie"
"331","Empire","Cercle de pouvoir"
"332","Empire","Atelier de tisserand"
"338","Empire","Cages"
"339","Empire","Guilde mercenaire"
"340","Empire","Mercenaire"
"341","Empire","Chirurgien"
"342","Empire","Assemblée"
"343","Empire","Scène"
"344","Empire","Charbonnier"
"345","Empire","Chantier naval"
"346","Empire","Scierie mécanisée"
"347","Empire","Baraques"
"348","Empire","Route"
"349","Empire","Mine mécanisée"
"357","Empire","Port"
"358","Empire","Arsenal"
"359","Empire","Forge mécanisée"
"360","Empire","Kiosque"
"361","Empire","Transport de troupe"
"373","Empire","Hallebardier"
"374","Empire","Révolte"
"375","Empire","Garde chasse"
"376","Empire","Hôpital"
"377","Empire","Centre de dressage"
"378","Empire","Casemates"
"379","Empire","Egouts"
"380","Empire","Sapeur"
"381","Empire","Echoueur"
"382","Empire","Cavalerie lourde"
"383","Empire","Saboteur"
"384","Empire","Ecole de magie"
"385","Empire","Moulin mécanisé"
"386","Empire","Gabare"
"387","Empire","Tisseur"
"388","Empire","Tribune"
"389","Empire","Alchimiste"
"390","Empire","Eboueurs"
"391","Empire","Cimetière marin"
"392","Empire","Voilerie"
"393","Empire","Fonderie"
"394","Empire","Arène"
"395","Empire","Saloir"
"396","Empire","Créature"
"397","Empire","Caserne"
"398","Empire","Pavois"
"399","Empire","Brigantin"
"400","Empire","Temple"
"401","Empire","Donjon"
"402","Empire","Repaire de pirates"
"403","Empire","Chasseur de sorcières"
"404","Empire","Canons de marine"
"405","Empire","Artilleur"
"406","Serenissime","Révolte"
"407","Serenissime","Port"
"408","Serenissime","Scène"
"410","Empire","Douves"
"411","Empire","Murailles"
"415","Empire","Arbalètrier"
"416","Empire","Pirate"
"417","Empire","Tortue"
"418","Empire","Académie du dogme"
"419","Empire","Grande halle"
"420","Empire","Latrines publiques"
"421","Empire","Combattants embarqués"
"422","Serenissime","Armurerie"
"429","Empire","Vagabond"
"430","Empire","Moine guerrier"
"431","Serenissime","Haute Chambre des Numismates"
"432","Serenissime","Clairière sacrée"
"433","Serenissime","Source de vie"
"434","Empire","Laboratoire"
"435","Empire","Comptoir marchand"
"436","Empire","Marché noir"
"437","Empire","Chariot de guerre"
"442","Empire","Haute Chambre des Numismates"
"444","Empire","Coffres"
"447","Empire","Monastère"
"448","Empire","Ruines"
"449","Empire","Engin mécanisé"
"450","Empire","Engin enchanté"
"480","Empire","Galère"
"481","Empire","Etat major"
"482","Empire","Chariot mécanisé"
"486","Empire","Podium"
"487","Empire","Remparts"
"488","Empire","Arquebusier (v)"
"489","Empire","Hallebardier (v)"
"490","Empire","Cimetière"
"491","Empire","Phare"
"492","Empire","Moulin à vent"
"493","Empire","Tannerie"
"494","Empire","Entrepôt"
"495","Empire","Cirque"
"496","Empire","Université"
"497","Empire","Banque"
"498","Empire","Amirauté"
"512","Empire","Matériel de campagne"
"513","Empire","Tour d&apos;affût"
"519","Serenissime","Mine d&apos;argent"
"520","Empire","Abattoir"
"522","Empire","Galion"
"523","Empire","Grenadiers"
"524","Empire","Bourg de corsaires"
"525","Empire","Geôle"
"526","Empire","Atelier mécanisé"
"527","Empire","Chariot bâché"
"528","Empire","Corsaire"
"529","Empire","Caveau"
"530","Empire","Unité de génie"
"531","Empire","Place forte"
"532","Empire","Boucanier"
"533","Empire","Cartographe"
"552","Empire","Dévot"
"553","Empire","Eclaireur"
"554","Empire","Arquebusier"
"555","Empire","Mendiant"
"556","Empire","Prisonniers"
"557","Empire","Contre espionnage"
"558","Empire","Fortin"
"559","Empire","Palais impérial"
"560","Empire","Sanctuaire"
"561","Empire","Tour de tisseur"
"562","Empire","Sa majesté Impériale"
"563","Empire","Théâtre"
"564","Empire","Tireur d&apos;élite (v)"
"565","Empire","Mine d&apos;argent"
"566","Empire","Aqueduc"
"567","Empire","Verger"
"568","Creatures","Feu de camp"
"569","Creatures","Pyramide d&apos;Onyx"
"570","Creatures","Momies"
"571","Creatures","Squelettes"
"572","Creatures","Seigneur Liche"
"573","Creatures","Mausolée maudit"
"574","Creatures","Mine d&apos;or"
"575","Creatures","Zombie"
"576","Creatures","Charnier"
"577","Nehbnefer","Feu de camp"
"578","Creatures","Héros squelettes"
"579","Nehbnefer","Avant-coureur"
"580","Creatures","Ruines"
"581","Creatures","Ruines hantées"
"582","Nehbnefer","Paysan"
"584","Nehbnefer","Chef de chantier"
"585","Nehbnefer","Carrière"
"586","Nehbnefer","Tour de guet"
"587","Nehbnefer","Chasseur"
"588","Nehbnefer","Orpailleur"
"589","Nehbnefer","Mineur"
"590","Nehbnefer","Pêcheur"
"591","Nehbnefer","Mine"
"592","Nehbnefer","Bucheron"
"593","Nehbnefer","Scierie"
"594","Nehbnefer","Glaneur"
"595","Nehbnefer","Tour d&apos;affût"
"596","Nehbnefer","Champs"
"597","Nehbnefer","Grange"
"598","Nehbnefer","Puits"
"599","Nehbnefer","Tumulus"
"600","Nehbnefer","Clairière sacrée"
"601","Nehbnefer","Source de vie"
"602","Nehbnefer","Autel"
"603","Nehbnefer","Boucherie"
"604","Nehbnefer","Forgeron"
"605","Nehbnefer","Forge"
"606","Nehbnefer","Souk"
"607","Nehbnefer","Charbonnage"
"608","Nehbnefer","Papeterie"
"609","Nehbnefer","Surta"
"610","Nehbnefer","Zombie"
"611","Nehbnefer","Fermier"
"612","Nehbnefer","Adorateur"
"613","Nehbnefer","Irrigation"
"614","Nehbnefer","Moulin"
"615","Nehbnefer","Mendiant"
"616","Nehbnefer","Chapelle"
"618","Nehbnefer","Levite"
"619","Nehbnefer","Cercle de pouvoir"
"620","Nehbnefer","Latrines publiques"
"621","Nehbnefer","Sapeur"
"622","Nehbnefer","Camp"
"623","Creatures","Spectres"
"624","Creatures","Nécropole"
"625","Creatures","Mégalithe"
"626","Serenissime","Bourse"
"627","Serenissime","Tour d&apos;affût"
"628","Serenissime","Tannerie"
"629","Serenissime","Egouts"
"630","Serenissime","Entrepôt"
"631","Serenissime","Aqueduc"
"633","Serenissime","Baraques"
"634","Serenissime","Remparts"
"635","Serenissime","Arsenal"
"636","Serenissime","Route"
"637","Serenissime","Arène"
"639","Serenissime","Fonderie"
"640","Serenissime","Latrines publiques"
"641","Serenissime","Monastère"
"642","Serenissime","Comptoir marchand"
"643","Serenissime","Guilde mercenaire"
"644","Serenissime","Brasserie"
"645","Serenissime","Cimetière"
"646","Serenissime","Tribune"
"647","Serenissime","Infirmerie"
"648","Serenissime","Pont"
"649","Serenissime","Verger"
"650","Serenissime","Vignoble"
"651","Serenissime","Forteresse"
"652","Serenissime","Douves"
"653","Serenissime","Scierie mécanisée"
"654","Serenissime","Cathédrale"
"655","Serenissime","Ecole de magie"
"656","Serenissime","Murailles"
"657","Serenissime","Casemates"
"658","Serenissime","Bourg de corsaires"
"659","Serenissime","Contre espionnage"
"660","Serenissime","Garde chasse"
"661","Serenissime","Repaire de pirates"
"662","Serenissime","Artilleur"
"663","Serenissime","Marché aux poissons"
"664","Serenissime","Marché noir"
"665","Serenissime","Cimetière marin"
"666","Serenissime","Elevage d&apos;huîtres"
"667","Serenissime","Chirurgien"
"668","Serenissime","Matériel de campagne"
"669","Serenissime","Théâtre"
"670","Serenissime","Hôpital"
"671","Serenissime","Laboratoire"
"672","Weisman","Feu de camp"
"673","Weisman","Clairière sacrée"
"674","Weisman","Source de vie"
"675","Weisman","Paysan"
"676","Weisman","Comte régnant"
"677","Weisman","Garde du corps"
"678","Weisman","Duc régnant"
"679","Maryl","Feu de camp"
"680","Maryl","Paysan"
"681","Maryl","Source de vie"
"682","Maryl","Clairière sacrée"
"683","Maryl","Troubadours"
"684","Maryl","Chevaliers du Marteau"
"688","Carderon","Feu de camp"
"689","Carderon","Paysan"
"690","Carderon","Clairière sacrée"
"691","Carderon","Source de vie"
"692","Carderon","Temple profané"
"693","Carderon","Ruines"
"694","Carderon","Le Baron de Kadévra"
"698","Carderon","Bastion de Brigands"
"699","Carderon","Chaussée de la barbe"
"703","Nehbnefer","Caveau"
"704","Nehbnefer","Atorbanan"
"705","Nehbnefer","Vagabond"
"706","Nehbnefer","Mégalithe"
"707","Nehbnefer","Cages"
"708","Nehbnefer","Verger"
"709","Nehbnefer","Echoppe"
"710","Nehbnefer","Armurier"
"711","Nehbnefer","Maître forgeron"
"719","Carderon","Eclaireur"
"720","Nehbnefer","Créature"
"721","Creatures","Chaussée de la barbe"
"726","Carderon","Diables"
"727","Nehbnefer","Bibliothèque"
"728","Nehbnefer","Boulangerie"
"729","Nehbnefer","Marché"
"730","Nehbnefer","Tribune"
"731","Nehbnefer","Cantinier"
"732","Nehbnefer","Moulin à eau"
"733","Nehbnefer","Atelier"
"734","Nehbnefer","Atelier de tisserand"
"735","Nehbnefer","Infirmerie"
"736","Nehbnefer","Grande halle"
"737","Nehbnefer","Grenier"
"738","Nehbnefer","Sparabara"
"739","Nehbnefer","Tour de garde"
"740","Nehbnefer","Temple"
"741","Nehbnefer","Armurerie"
"742","Nehbnefer","Hospice"
"743","Nehbnefer","Barbier"
"744","Nehbnefer","Ingénieur"
"745","Nehbnefer","Mélophores"
"746","Nehbnefer","Caserne"
"747","Nehbnefer","Chirurgien"
"748","Nehbnefer","Eboueurs"
"749","Nehbnefer","Egouts"
"756","Nehbnefer","Derviches"
"757","Creatures","Brigands"
"758","Creatures","Diables"
"759","Creatures","Tisseur"
"760","Creatures","Choisi"
"761","Creatures","Archer"
"762","Creatures","Camp"
"763","Creatures","Lancier"
"764","Nehbnefer","Redoute"
"765","Nehbnefer","Arsenal"
"766","Creatures","Temple profané"
"767","Creatures","Démons"
"768","Creatures","La grande porte "
"769","Creatures","Château hanté"
"770","Creatures","Fantômes"
"771","Creatures","Revenants"
"772","Creatures","Ombres"
"773","Creatures","Remparts"
"774","Creatures","Tour de tisseur"
"775","Creatures","Phare"
"776","Creatures","Cimetière marin"
"777","Creatures","Port"
"783","Creatures","Artilleur"
"784","Creatures","Catapulte"
"785","Creatures","Goule"
"786","Nehbnefer","Pâtures"
"787","Creatures","Arbre chantant"
"788","Nehbnefer","Sbires"
"789","Nehbnefer","Daylami"
"790","Creatures","Nixies"
"791","Creatures","Firebolgs"
"792","Creatures","Homme-bêtes"
"793","Nehbnefer","Ecuries"
"794","Creatures","Chiens errants"
"795","Creatures","Centaures"
"796","Nehbnefer","Cimetière"
"797","Creatures","Champion des clans"
"798","Creatures","Loup-garous"
"799","Nehbnefer","Collège d&apos;artisans"
"800","Creatures","Abishai"
"806","Creatures","Chef de bande"
"807","Creatures","Guerriers Orcs"
"808","Creatures","Gobelins"
"809","Creatures","Palissades"
"810","Creatures","Carrière"
"811","Creatures","Baraques"
"812","Creatures","Prisonniers"
"813","Creatures","Barbares"
"814","Creatures","Champion des clans (v)"
"815","Creatures","Tour de guet"
"816","Creatures","Cages"
"817","Creatures","Grotte gobeline"
"818","Creatures","Village des sans crocs"
"819","Creatures","Waarg"
"820","Creatures","Ogre"
"821","Creatures","Troll"
"822","Creatures","Camp barbare"
"823","Creatures","Fossés"
"824","Creatures","Mine d&apos;argent"
"825","Empire","Collège d&apos;artisans"
"828","Empire","Maître-bâtisseur"
"829","Empire","Créature volante"
"835","Empire","Tribunal de justice"
"836","Empire","Général"
"837","Empire","Piquier"
"838","Empire","Chevaliers du Marteau"
"839","Empire","Phalange"
"840","Nehbnefer","Avant-coureur monté"
"841","Nehbnefer","Donjon"
"842","Nehbnefer","Brasserie"
"843","Nehbnefer","Kamandaran"
"844","Nehbnefer","Mausolée maudit"
"845","Nehbnefer","Excubites"
"846","Nehbnefer","Squelettes"
"847","Nehbnefer","Fantômes"
"848","Nehbnefer","Saloir"
"849","Nehbnefer","Saboteur"
"850","Nehbnefer","Hôpital"
"851","Nehbnefer","Pyramide d&apos;Onyx"
"852","Nehbnefer","Ruines hantées"
"853","Nehbnefer","Momies"
"854","Nehbnefer","Alchimiste"
"855","Nehbnefer","Tailleur de pierre"
"856","Nehbnefer","Assemblée"
"857","Nehbnefer","Monastère"
"858","Nehbnefer","Crypte"
"859","Nehbnefer","Unité de génie"
"860","Nehbnefer","Salar"
"861","Empire","Cathédrale"
"862","Nehbnefer","Goule"
"863","Nehbnefer","Fortin"
"864","Nehbnefer","Laboratoire"
"865","Nehbnefer","Sépulcre"
"866","Nehbnefer","Université"
"867","Empire","Prisons"
"868","Empire","Pont"
"869","Empire","Bastion"
"870","Empire","Beholder"
"871","Empire","Archer"
"872","Empire","Voleur"
"873","Empire","Pèlerin"
"874","Empire","Camp d&apos;entraînement"
"875","Empire","Armure mécanisée"
"876","Empire","Pistoliers"
"877","Empire","Pistoliers (v)"
"878","Empire","Cavalerie lourde agressive"
"879","Empire","Cavalerie lourde agressive (v)"
"881","Empire","Bourgeois"
"882","Serenissime","Eboueurs"
"883","Serenissime","Saloir"
"884","Serenissime","Abattoir"
"885","Serenissime","Cirque"
"886","Calias","Moine guerrier (v)"
"887","Gowryn","Feu de camp"
"888","Gowryn","Amrung Dorh"
"889","Gowryn","Paysan"
"890","Gowryn","Haaken Briseur d&apos;os"
"891","Gowryn","Mine d&apos;argent"
"892","Gowryn","Clairière sacrée"
"893","Gowryn","Source de vie"
"894","Gowryn","Guerriers Nains"
"895","Gowryn","Chaussée de la barbe"
"896","Gowryn","Passages secrets"
"897","Calias","Feu de camp"
"898","Torgiel","Feu de camp"
"901","Torgiel","Paysan"
"902","Torgiel","Clairière sacrée"
"903","Torgiel","Source de vie"
"904","Torgiel","Village des sans crocs"
"905","Torgiel","Grotte gobeline"
"906","Torgiel","Scar La montagne"
"907","Torgiel","Guerriers Orcs"
"908","Torgiel","Ruines"
"909","Torgiel","Gobelins"
"910","Nehbnefer","Ecole de magie"
"911","Nehbnefer","Comptoir marchand"
"912","Nehbnefer","Paygan"
"913","Nehbnefer","Bourgeois"
"914","Nehbnefer","Place forte"
"915","Nehbnefer","Maître-bâtisseur"
"916","Nehbnefer","Manège"
"917","Nehbnefer","Arène"
"918","Nehbnefer","Camp d&apos;entraînement"
"919","Nehbnefer","Château"
"920","Nehbnefer","Transport de troupe"
"921","Nehbnefer","Tisseur"
"922","Nehbnefer","Palais d&apos;Or"
"923","Nehbnefer","Calife de Ramauk"
"924","Nehbnefer","Garde Califate"
"925","Nehbnefer","Mumakil"
"926","Nehbnefer","Ossuaire"
"927","Nehbnefer","Route"
"928","Nehbnefer","Abattoir"
"929","Nehbnefer","Marché aux poissons"
"930","Nehbnefer","Marin"
"931","Nehbnefer","Constructeur naval"
"932","Nehbnefer","Chantier naval"
"933","Nehbnefer","Port"
"934","Nehbnefer","Muwajjih"
"935","Nehbnefer","Révolte"
"936","Nehbnefer","Canal"
"937","Nehbnefer","Avant-coureur (v)"
"938","Nehbnefer","Mutamarrid"
"939","Nehbnefer","Mutamarrid (v)"
"940","Nehbnefer","Spahbod"
"941","Mahoud","Feu de camp"
"942","Mahoud","Paysan"
"943","Mahoud","Souk"
"944","Mahoud","Source de vie"
"945","Mahoud","Clairière sacrée"
"946","Mahoud","Campement Mahoud"
"947","Mahoud","Shuja"
"948","Mahoud","Chasseur"
"949","Mahoud","Pêcheur"
"950","Mahoud","Glaneur"
"951","Mahoud","Champion Mahoud (v)"
"952","Mahoud","Mahouds"
"953","Mahoud","Bucheron"
"954","Mahoud","Cale sèche"
"956","Mahoud","Chef de chantier"
"957","Mahoud","Tour d&apos;affût"
"958","Mahoud","Mine de diamants"
"959","Mahoud","Mineur"
"960","Mahoud","Mine"
"961","Mahoud","Scierie"
"962","Mahoud","Autel"
"963","Mahoud","Catamaran"
"964","Mahoud","M&apos;Lezi"
"965","Mahoud","Carrière"
"966","Mahoud","Boucherie"
"967","Mahoud","Fermier"
"968","Mahoud","Ferme"
"969","Mahoud","Puits"
"970","Mahoud","Champs"
"971","Mahoud","Grange"
"972","Mahoud","Irrigation"
"973","Mahoud","Tumulus"
"974","Mahoud","Zombie"
"975","Mahoud","Moulin"
"976","Mahoud","Orpailleur"
"977","Mahoud","Verger"
"978","Mahoud","Chapelle"
"980","Mahoud","Crypte"
"981","Mahoud","Boulangerie"
"982","Mahoud","Cercle de pouvoir"
"983","Mahoud","Cages"
"984","Mahoud","Tour de guet"
"985","Mahoud","Tambour"
"986","Mahoud","Upinde"
"987","Mahoud","Goule"
"988","Mahoud","Madogo"
"989","Mahoud","Latrines publiques"
"990","Mahoud","Eboueurs"
"991","Mahoud","Créature"
"992","Mahoud","Grenier"
"993","Mahoud","Cantinier"
"994","Mahoud","Brasserie"
"995","Mahoud","Infirmerie"
"996","Mahoud","Forgeron"
"997","Mahoud","Camp"
"998","Mahoud","Forge"
"999","Mahoud","Pâtures"
"1000","Mahoud","Momies"
"1001","Mahoud","Arbre à palabres"
"1002","Mahoud","Avant-coureur"
"1003","Mahoud","Mahoud Mercenaire"
"1004","Mahoud","Mégalithe"
"1005","Mahoud","Ecuries"
"1006","Mahoud","Champion Mahoud"
"1014","Torgiel","Révolte"
"1015","Maryl","Chef de chantier"
"1016","Maryl","Bucheron"
"1017","Maryl","Fermier"
"1018","Maryl","Chasseur"
"1023","Nehbnefer","Caravaniers"
"1024","Maryl","Mineur"
"1025","Maryl","Champs"
"1026","Maryl","Homme d&apos;arme"
"1027","Maryl","Autel"
"1028","Nehbnefer","Guilde mahoud"
"1029","Mahoud","Sépulcre"
"1030","Mahoud","Avant-coureur monté"
"1031","Mahoud","Vagabond"
"1032","Calias","Chef de chantier"
"1033","Calias","Fermier"
"1035","Torgiel","Chef de chantier"
"1036","Torgiel","Fermier"
"1037","Torgiel","Glaneur"
"1038","Torgiel","Ferme"
"1039","Torgiel","Mineur"
"1040","Torgiel","Chasseur"
"1041","Torgiel","Bucheron"
"1042","Torgiel","Gueule noire"
"1043","Torgiel","Mine"
"1044","Torgiel","Tour d&apos;affût"
"1045","Torgiel","Tumulus"
"1046","Torgiel","Caveau"
"1047","Torgiel","Puits"
"1048","Torgiel","Carrière"
"1049","Calias","Champs"
"1050","Torgiel","Orpailleur"
"1051","Calias","Chasseur"
"1052","Calias","Moine guerrier"
"1053","Calias","Paysan"
"1054","Torgiel","Eboueurs"
"1055","Torgiel","Champs"
"1056","Calias","Grange"
"1057","Torgiel","Grange"
"1058","Calias","Bucheron"
"1059","Calias","Glaneur"
"1060","Calias","Mineur"
"1061","Calias","Puits"
"1062","Maryl","Carrière"
"1063","Maryl","Puits"
"1064","Calias","Tour d&apos;affût"
"1065","Maryl","Grange"
"1066","Maryl","Mine"
"1067","Maryl","Irrigation"
"1068","Maryl","Moulin"
"1069","Maryl","Mendiant"
"1070","Maryl","Scierie"
"1071","Maryl","Tour de guet"
"1072","Calias","Moulin"
"1073","Calias","Dévot"
"1074","Calias","Clairière sacrée"
"1075","Maryl","Pêcheur"
"1076","Mahoud","Ossuaire"
"1077","Mahoud","Manège"
"1078","Mahoud","Sbire monté"
"1079","Nehbnefer","Infanterie Haradrim"
"1080","Nehbnefer","Mélophores (v)"
"1081","Nehbnefer","Garde Califate (v)"
"1082","Nehbnefer","Catacombes"
"1083","Nehbnefer","Mahoud Mercenaire"
"1084","Nehbnefer","Derviches (v)"
"1085","Nehbnefer","Académie du dogme"
"1086","Nehbnefer","Cirque"
"1087","Nehbnefer","Galère"
"1088","Nehbnefer","Héros squelettes"
"1089","Nehbnefer","Palissades"
"1090","Nehbnefer","Casemates"
"1091","Nehbnefer","Engin embarqué"
"1092","Nehbnefer","Artilleur"
"1093","Nehbnefer","Cavalerie Scythe"
"1094","Calias","Carrière"
"1095","Gunnar","Feu de camp"
"1096","Gunnar","Paysan"
"1097","Gunnar","Champion des clans (v)"
"1098","Gunnar","Barbares"
"1099","Gunnar","Clairière sacrée"
"1100","Gunnar","Source de vie"
"1101","Gunnar","Camp barbare"
"1102","Gunnar","Cale sèche"
"1113","Mahoud","Caveau"
"1114","Maryl","Boucherie"
"1115","Maryl","Charbonnier"
"1116","Maryl","Charbonnage"
"1117","Maryl","Echoppe"
"1118","Mahoud","Cavalerie Mahoud"
"1119","Maryl","Boulangerie"
"1120","Maryl","Moulin à eau"
"1121","Maryl","Révolte"
"1122","Mahoud","Caravaniers"
"1123","Mahoud","Phare"
"1124","Mahoud","Fossés"
"1125","Mahoud","Marin"
"1126","Mahoud","Constructeur naval"
"1127","Mahoud","Squelettes"
"1128","Mahoud","Tisserand"
"1129","Mahoud","Cimetière"
"1130","Calias","Autel"
"1131","Calias","Latrines publiques"
"1132","Calias","Révolte"
"1133","Calias","Ferme"
"1134","Calias","Boucherie"
"1135","Calias","Mine"
"1136","Maryl","Sanctuaire"
"1137","Maryl","Théâtre"
"1138","Maryl","Ecole de magie"
"1139","Maryl","Grenier"
"1140","Maryl","Egouts"
"1141","Maryl","Eboueurs"
"1142","Maryl","Entrepôt"
"1143","Calias","Mendiant"
"1144","Calias","Vagabond"
"1145","Calias","Alchimiste"
"1146","Calias","Créature"
"1149","Torgiel","Pêcheur"
"1150","Torgiel","Scierie"
"1151","Torgiel","Pâtures"
"1152","Maryl","Marché"
"1153","Maryl","Prêtre"
"1154","Maryl","Latrines publiques"
"1155","Torgiel","Cages"
"1156","Torgiel","Marché aux poissons"
"1157","Torgiel","Boulangerie"
"1158","Torgiel","Moulin"
"1160","Maryl","Vagabond"
"1161","Maryl","Brasserie"
"1162","Maryl","Phare"
"1163","Maryl","Forgeron"
"1164","Maryl","Tisseur"
"1165","Nehbnefer","Gabare"
"1166","Nehbnefer","Nécropole"
"1167","Nehbnefer","Entrepôt"
"1168","Maryl","Cathédrale"
"1169","Maryl","Ruines"
"1170","Maryl","Pèlerin"
"1171","Maryl","Marin"
"1172","Maryl","Glaneur"
"1173","Maryl","Verger"
"1174","Maryl","Constructeur naval"
"1175","Maryl","Pâtures"
"1176","Maryl","Chantier naval"
"1177","Maryl","Ferme"
"1178","Maryl","Gabare"
"1179","Maryl","Port"
"1180","Maryl","Guilde mercenaire"
"1181","Maryl","Caveau"
"1182","Maryl","Mercenaire"
"1183","Maryl","Haute Chambre des Numismates"
"1184","Mahoud","Héros squelettes"
"1185","Mahoud","Armurier"
"1186","Torgiel","Boucherie"
"1187","Maryl","Sapeur"
"1188","Mahoud","Mkuki"
"1189","Mahoud","Révolte"
"1190","Maryl","Cantinier"
"1191","Mahoud","Tribune"
"1192","Maryl","Cimetière"
"1193","Mahoud","Garde chasse"
"1194","Maryl","Papeterie"
"1195","Maryl","Tisserand"
"1196","Maryl","Orpailleur"
"1197","Maryl","Tour d&apos;affût"
"1198","Maryl","Bibliothèque"
"1199","Nehbnefer","Bastion"
"1200","Mahoud","Atelier de tisserand"
"1201","Mahoud","Saloir"
"1202","Mahoud","Tannerie"
"1203","Mahoud","Mausolée maudit"
"1204","Maryl","Forge"
"1205","Maryl","Armurier"
"1206","Maryl","Maître forgeron"
"1210","Carderon","Mineur"
"1211","Maryl","Atelier"
"1213","Maryl","Atelier de tisserand"
"1215","Carderon","Chef de chantier"
"1216","Maryl","Grande halle"
"1229","Maryl","Prisons"
"1233","Carderon","Chasseur"
"1234","Darh","Feu de camp"
"1235","Darh","Paysan"
"1236","Darh","Source de vie"
"1237","Darh","Clairière sacrée"
"1238","Darh","Temple profané"
"1239","Darh","Diables"
"1240","Darh","Démons"
"1241","Darh","Avant-coureur monté (v)"
"1242","Darh","Tour de tisseur"
"1243","Morjul","Feu de camp"
"1244","Morjul","Paysan"
"1245","Morjul","Source de vie"
"1246","Morjul","Clairière sacrée"
"1247","Morjul","Diables"
"1248","Morjul","Démons"
"1249","Morjul","Temple profané"
"1250","Morjul","Avant-coureur monté (v)"
"1251","Morjul","Cadarces"
"1252","Morjul","Mineur"
"1253","Morjul","Orpailleur"
"1254","Morjul","Chef de chantier"
"1255","Morjul","Esclave"
"1256","Morjul","Chasseur"
"1257","Morjul","Pêcheur"
"1258","Morjul","Enclos"
"1259","Morjul","Bucheron"
"1260","Morjul","Autel"
"1261","Darh","Pêcheur"
"1262","Darh","Chef de chantier"
"1263","Darh","Orpailleur"
"1264","Darh","Esclave"
"1265","Darh","Carrière"
"1266","Darh","Enclos"
"1267","Darh","Bucheron"
"1268","Darh","Scierie"
"1269","Darh","Boquillon"
"1270","Darh","Mineur"
"1271","Darh","Puits"
"1272","Darh","Sapeur"
"1273","Darh","Tisseur"
"1274","Darh","Latrines publiques"
"1275","Maryl","Infirmerie"
